adjust_total_amount(uuid,numeric,text)  prod=d33f03f3ad9ac83d1739ed9e3825b607  repo=254a96c75512786d24dbc90a58750e8e
apply_physical_count(uuid,uuid,boolean)  prod=e6935d97239e5ad29c7ffaf19ad01a98  repo=ee5c3a7affb67f6a7c73f9a6185ce4da
approve_transfer(uuid,uuid)  prod=c5ad3bdaf498a9f8ac3612e46eb44d15  repo=9c13bd084b3d6653a2dd971442a76f59
audit_cash_closures_changes()  prod=c90c803ccf8b7dbc6330fa256e33c163  repo=0fc92e9c6dab54dcce6d0975dba1767e
audit_product_changes()  prod=5f1fd0f694f2baf499e9c3e2b2a1a617  repo=68cdf510be82af9bb75ae71bad60f7c0
audit_profile_changes()  prod=5aef0227ac2cb4f1d8f680af7ad0353a  repo=6aae56b1015c02c0d1ea7cd516997cb0
audit_role_changes()  prod=a3287ba45816816ac9baa63069e0f62b  repo=fb99bde6a8ee81fa81ec62cd5bcaa47b
audit_store_access_changes()  prod=58eabe0eaefc40afd8cb17eb79106cb7  repo=2251a02d5b0c685d52ba40be5139e2e1
audit_store_changes()  prod=005a05d0178a35dd37f65d8a039b3def  repo=7b74439b7b52f5b079595c6f5313c580
auto_assign_store_to_creator()  prod=976fcabcb7866f67586bfc68d8dcea00  repo=2baad23fe5513e7f023e045c83ebc3a5
auto_match_bank_items(uuid,uuid)  prod=85d2c211139c3adb6af686900eface6d  repo=d87f696b258b93faf0edba6e214ac5ad
bulk_update_products(jsonb)  prod=846932ad1e68e90674cea7bc971203e1  repo=a8dbad859a35a2f9f1f00e8cc9d4386c
calculate_abc(uuid,integer,integer,uuid)  prod=7cd4ae14f5eff2ff9be71396fd047e10  repo=bd6d0c417a48f7adfc4c2635052fc8c7
can_create_user_with_role(uuid,text)  prod=21166810957debe468097c9bbc8032fa  repo=d741bbc9b28bf9d4245cacdb8250bea9
cancel_reception(uuid)  prod=fef70e490c836815ab18cae8a11c29dc  repo=aed87ae2b9784bcade9ff3f62375b955
cancel_transfer(uuid,uuid)  prod=fe7b526d452f1c3f456486cbcd3db1cc  repo=1d537c9d48bd32bb9df51d8648e89265
check_idempotency(text,text,uuid,text)  prod=8558af9a7d5e98b8fbb965c096868a15  repo=946109fb9e8ce79344ae013b6baa9929
check_reception_cost_variation()  prod=dbbc887a98762939bedf1508a5ee59f2  repo=7baeb02ea2677f4c85d08fc9b584c0a4
compensate_inventory_error(uuid,uuid,text,uuid)  prod=68ea01f387e94479e83b8e9a88fe1877  repo=f56840e712a6eb0c1ceaef58ba19b64a
confirm_inventory_adjustment(uuid,uuid)  prod=221daac90dcd1e4c48bc1dc0ddc897db  repo=89da9120b55b5b71d3a0d498a77f48a0
confirm_pending_reception(uuid,uuid,timestamp with time zone)  prod=d2a2a5bef7695dbddcf9ab75586b1af1  repo=d6d794525d71eac6519cf0cdbc738f97
confirm_transfer(uuid,uuid,timestamp with time zone)  prod=4c8ac116ab04bd4d76b17bb86fb68cd1  repo=05a8168bba3b2e27e670e5310e8c1ff2
create_devolution(uuid,jsonb,text,uuid,text,uuid,text,text,text,numeric)  prod=a29663db9c60681d4f71fd49dd29b7c4  repo=46cd4180dd7fe7a00c3e8a45cd1cd9d0
create_physical_count(uuid,uuid,text)  prod=dc2526aad4e92351d5fa58d2a5779e40  repo=270cb6f51101fa1fb1d153b995024476
create_pre_restore_snapshot(uuid)  prod=0454bcab2af23b41704bf8134830ea7a  repo=9aa3e09239958dc56e1f43433df1632c
create_production_order_v2(uuid,text,text,text,text,text,numeric,text,text,text,jsonb,numeric,text,text,uuid,text)  prod=b6ead1fdd813d2750207dcdc103b8414  repo=992dd2eff98b8a4d4c88e76c3d8b5a1d
