== SHIMS ==
SHIMS OK
OK    202401230001_add_get_users_for_encargado.sql
ERR(3) 202401230002_update_rls_for_encargado.sql
OK    20240325000000_harden_audit_triggers.sql
OK    20240725_add_paginated_stock_ledger.sql
ERR(14) 20240801_create_inventory_adjustments.sql
ERR(0) 20240801_create_process_inventory_adjustment_function.sql
OK    20240802120000_create_bulk_update_products_rpc.sql
ERR(3) 20260112_ensure_audit_rls.sql
OK    20260112_register_reception.sql
OK    20260112_register_stock_movement.sql
ERR(1) 20260113_add_optimistic_locking.sql
ERR(2) 20260113_consolidate_stock_source.sql
ERR(5) 20260113_strengthen_rls.sql
OK    20260114_create_sale_rpc.sql
ERR(1) 20260115_fix_inventory_immutability.sql
ERR(3) 20260116_fix_audit_logs_permissions.sql
OK    20260116_fix_dashboard_kpis.sql
ERR(2) 20260117_fix_receipts_profiles_relationship.sql
ERR(2) 20260118_multi_store_audit.sql
ERR(7) 20260118_multi_store_base.sql
ERR(6) 20260118_multi_store_logic.sql
ERR(1) 20260118_multi_store_managed_ops.sql
ERR(11) 20260118_multi_store_rls.sql
ERR(3) 20260119_add_role_to_user_store_access.sql
OK    20260120_add_paginated_products_function.sql
ERR(7) 20260120_enterprise_multi_store.sql
ERR(4) 20260121_fix_and_unify_products.sql
OK    20260123181920_fix_bulk_update_products_with_upsert.sql
ERR(1) 20260124_enforce_store_sku_uniqueness.sql
ERR(3) 20260124_product_management_enhancements.sql
ERR(3) 20260125_fix_receipt_items_schema.sql
ERR(25) 20260126_final_rls_fix.sql
ERR(9) 20260126_fix_audit_logs_rls_and_schema.sql
ERR(1) 20260126_fix_managed_create_user.sql
ERR(1) 20260126_harden_profiles_rls.sql
OK    20260126_unify_membership_logic.sql
ERR(10) 20260127_canonical_stock_movement.sql
ERR(12) 20260127_enhance_audit_logs.sql
OK    20260128_atomic_inventory_adjustment.sql
ERR(0) 20260128_final_hardening_schema.sql
ERR(0) 20260128_fix_dashboard_ambiguity.sql
ERR(0) 20260128_fix_unit_cost_precision.sql
ERR(4) 20260201_alignment_fix.sql
ERR(0) 20260205_production_alignment_v2.sql
ERR(7) 20260209_fix_critical_rls_issues.sql
ERR(9) 20260211_create_transfers.sql
ERR(1) 20260212_fix_has_role_overload.sql
ERR(10) 20260213_cash_closures_hardening.sql
OK    20260213_fix_cash_closure_rpc.sql
ERR(3) 20260214_fix_transfers_logic.sql
ERR(11) 20260215_comprehensive_audit_logging.sql
OK    20260215_fix_audit_product_trigger.sql
ERR(1) 20260215_fix_sale_price_error.sql
ERR(10) 20260216_create_receipt_items.sql
ERR(4) 20260216_fix_schema_discrepancies.sql
ERR(8) 20260217_create_sync_log.sql
ERR(1) 20260217_update_sync_log_rls.sql
ERR(2) 20260218_add_user_ai_settings.sql
ERR(9) 20260220_create_reports_schema.sql
ERR(3) 20260221_create_reports_bucket.sql
ERR(3) 20260223_fix_rls_recursion.sql
ERR(1) 20260223_harden_user_management.sql
ERR(0) 20260223_unify_and_cleanup_memberships.sql
ERR(3) 20260224_improve_visibility.sql
ERR(2) 20260225_create_rss_module.sql
ERR(2) 20260226_fix_product_store_isolation.sql
OK    20260227_fix_rpc_structures.sql
OK    20260228_fix_sales_since_last_closure_fallback.sql
ERR(8) 20260228_implement_taxes.sql
ERR(16) 20260301_control_fallos_harden.sql
OK    20260302_0001_fix_schema_cache.sql
ERR(4) 20260302_0002_create_roles_table.sql
ERR(1) 20260302_0004_update_managed_create_rpc.sql
ERR(1) 20260302_0005_audit_role_changes.sql
ERR(0) 20260302_0006_fix_hierarchy_and_triggers.sql
ERR(7) 20260302_0007_fix_admin_management.sql
ERR(6) 20260302_0008_fix_stores_visibility.sql
ERR(1) 20260303_fix_store_audit_and_enable_management.sql
ERR(6) 20260304_harden_sale_stock_logic.sql
ERR(1) 20260305_create_user_audit_log.sql
ERR(1) 20260305_fix_ambiguous_stock_movement.sql
ERR(13) 20260305_fix_profiles_rls_final.sql
OK    20260305_harden_create_sale_and_inventory.sql
ERR(2) 20260305_harden_inventory_final.sql
ERR(3) 20260306_fix_active_store_logic.sql
ERR(2) 20260307_safe_delete_user.sql
ERR(0) 20260317_fix_safe_delete_user.sql
ERR(4) 20260318_harden_audit_logging.sql
ERR(5) 20260320_fix_audit_v2_hallazgos.sql
ERR(32) 20260324_total_remediation.sql
ERR(5) 20260325_add_store_id_to_templates.sql
