          proname          |                                                     signature                                                     |   ns   | secdef |                                                acl                                                 | vol | src_len 
---------------------------+-------------------------------------------------------------------------------------------------------------------+--------+--------+----------------------------------------------------------------------------------------------------+-----+---------
 close_production_order_v2 | close_production_order_v2(uuid,uuid,uuid,numeric,text,text,numeric,uuid,numeric,uuid,text)                        | public | t      | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres} | v   |    8294
 confirm_transfer          | confirm_transfer(uuid,uuid,timestamp with time zone)                                                              | public | t      | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}                             | v   |    3575
 create_devolution         | create_devolution(uuid,jsonb,text,uuid,uuid,text,uuid,text,text)                                                  | public | t      | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}                             | v   |    2330
 create_devolution         | create_devolution(uuid,jsonb,text,uuid,text,uuid,text,text,text,numeric)                                          | public | t      | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}                             | v   |    5676
 create_devolution_v2      | create_devolution_v2(uuid,jsonb,text,uuid,uuid,text,uuid,text,text,text)                                          | public | t      | {=X/postgres,postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}                 | v   |    4353
 create_transfer           | create_transfer(uuid,uuid,jsonb,text,uuid,timestamp with time zone,uuid)                                          | public | t      | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}                             | v   |    5031
 create_vale_salida        | create_vale_salida(uuid,jsonb,uuid,text,text)                                                                     | public | t      | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}                             | v   |    6441
 create_vale_salida        | create_vale_salida(uuid,jsonb,uuid,text,text,uuid)                                                                | public | t      | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}                             | v   |    6410
 receive_production_output | receive_production_output(uuid,uuid,numeric,uuid)                                                                 | public | t      | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}                             | v   |    1973
 receive_production_output | receive_production_output(uuid,uuid,numeric,uuid,uuid,text)                                                       | public | t      | {=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres} | v   |    4771
 register_stock_movement   | register_stock_movement(uuid,uuid,numeric,text,text,uuid,uuid,uuid,numeric,text,timestamp with time zone,boolean) | public | t      | {postgres=X/postgres,service_role=X/postgres}                                                      | v   |    2118
 reverse_adjustment        | reverse_adjustment(uuid,text,uuid)                                                                                | public | t      | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}                             | v   |    1865
 reverse_devolution        | reverse_devolution(uuid,text,uuid)                                                                                | public | t      | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}                             | v   |    1660
 reverse_transfer          | reverse_transfer(uuid,text,uuid)                                                                                  | public | t      | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}                             | v   |    2520
 update_product_wac        | update_product_wac()                                                                                              | public | t      | {postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres}                             | v   |    1579
 withdraw_production_item  | withdraw_production_item(uuid,numeric,numeric,uuid,uuid,text)                                                     | public | t      | {postgres=X/postgres,service_role=X/postgres}                                                      | v   |    3004
 withdraw_production_item  | withdraw_production_item(uuid,numeric,numeric,uuid,uuid,text,uuid,text,boolean)                                   | public | t      | {postgres=X/postgres,service_role=X/postgres}                                                      | v   |    4322
(17 rows)

