rank,oid,signature,SD,public,anon,auth,svc,mutating,sensitive_tables,dynamic_sql,guard,consumers_src,consumers_bd,trigger,policies,class
1,138627,"public.close_service_order_as_sale(p_order_id uuid, p_store_id uuid, p_seller_id uuid, p_payment_method text, p_currency text, p_exchange_rate numeric, p_user_id uuid)",SD,True,True,True,True,True,audit_logs,False,has_store_access_as,,,False,False,C4
2,138598,"public.link_receipts_to_service(p_service_id uuid, p_receipt_ids jsonb, p_user_id uuid)",SD,True,True,True,True,True,audit_logs,False,has_store_access,,,False,False,C4
3,137974,public.release_expired_reservations(),SD,True,True,True,True,True,audit_logs,False,,,,False,False,C4
4,138785,"public.update_receipt_item_tasa(p_receipt_item_id uuid, p_new_tasa_cambio_recepcion numeric, p_new_moneda_recepcion text, p_motivo text, p_user_id uuid)",SD,True,True,True,True,True,audit_logs;receipt_tasa_audit,False,has_store_access_as,,,False,False,C4
5,138112,"public.bulk_assign_memberships(p_user_id uuid, p_assignments jsonb)",SD,True,True,True,True,True,user_audit_log;user_store_memberships,False,has_store_role;is_admin,src/app/api/users/[id]/memberships/bulk/route.ts,,False,False,C2
6,138285,"public.close_cash_shift(p_closure_id uuid, p_declared_cash numeric, p_declared_vouchers numeric, p_notes text, p_user_id uuid)",SD,True,True,True,True,True,audit_logs,False,has_store_access_as,src/app/api/cash-closures/close/route.ts,,False,False,C2
7,138865,"public.create_devolution_v2(p_store_id uuid, p_items jsonb, p_reason text, p_user_id uuid, p_original_transaction_id uuid, p_payment_method text, p_customer_id uuid, p_customer_name text, p_notes text, p_idempotency_key text)",SD,True,True,True,True,True,audit_logs;store_credit_ledger,False,has_store_access_as,src/app/api/devolutions/route.ts,,False,False,C2
8,138630,"public.create_production_order_v2(p_store_id uuid, p_order_type text, p_customer_name text, p_customer_ci text, p_customer_phone text, p_customer_address text, p_budget_total numeric, p_budget_currency text, p_description text, p_notes text, p_items jsonb, p_advance_amount numeric, p_advance_method text, p_advance_currency text, p_created_by uuid, p_idempotency_key text)",SD,True,True,True,True,True,audit_logs,False,check_idempotency;has_store_access_as,src/app/api/production-orders/route.ts,,False,False,C2
9,138592,"public.create_received_service_v2(p_store_id uuid, p_supplier text, p_total_amount numeric, p_service_type_id uuid, p_service_type_name text, p_service_date date, p_currency text, p_exchange_rate numeric, p_payment_terms_days integer, p_distribution_method text, p_reference_doc text, p_observations text, p_receipt_ids jsonb, p_created_by uuid)",SD,True,True,True,True,True,audit_logs,False,has_store_access,src/app/api/received-services/route.ts,,False,False,C2
10,138143,"public.create_store_with_membership(p_name text, p_address text, p_created_by uuid, p_max_stores integer, p_logo_url text, p_reeup text, p_nit text, p_bank_account text, p_phone text, p_email text, p_slug text, p_plantilla text, p_signature_url text, p_stamp_url text, p_latitude double precision, p_longitude double precision, p_tenant_id uuid)",SD,True,True,True,True,True,audit_logs;profiles;stores;user_store_memberships,False,auth.uid,src/app/api/stores/route.ts,,False,False,C2
11,138109,public.detect_orphan_users(),SD,True,True,True,True,True,orphaned_users_log,False,is_admin,src/app/api/users/orphans/route.ts,,False,False,C2
12,138597,"public.distribute_service_cost_v2(p_service_id uuid, p_user_id uuid)",SD,True,True,True,True,True,audit_logs,False,has_store_access,src/app/api/received-services/distribute/route.ts,,False,False,C2
13,138870,"public.duplicate_inventory_adjustment_v2(p_original_id uuid, p_user_id uuid)",SD,True,True,True,True,True,audit_logs,False,has_store_access_as,src/app/api/reverse/route.ts,,False,False,C2
14,138098,"public.managed_create_user_v2(p_email text, p_full_name text, p_role user_role, p_plan plan_t, p_store_id uuid, p_memberships jsonb, p_max_stores integer, p_max_users integer, p_target_user_id uuid, p_creator_id uuid)",SD,True,True,True,True,True,profiles;user_audit_log;user_store_memberships,False,has_store_access,src/app/api/users/managed-create/route.ts,,False,False,C2
15,138105,"public.managed_reset_password(p_user_id uuid, p_caller_id uuid)",SD,True,True,True,True,True,user_audit_log,False,auth.uid,src/app/api/users/reset-password/route.ts,,False,False,C2
16,138108,"public.managed_revoke_membership(p_membership_id uuid, p_caller_id uuid)",SD,True,True,True,True,True,profiles;user_audit_log;user_store_memberships,False,has_store_role,src/app/api/users/[id]/memberships/[membershipId]/route.ts,,False,False,C2
17,138106,"public.managed_soft_delete_user(p_user_id uuid, p_reason text, p_caller_id uuid)",SD,True,True,True,True,True,profiles;user_audit_log;user_store_memberships,False,auth.uid,src/app/api/users/delete/route.ts,,False,False,C2
18,138104,"public.managed_toggle_user_status(p_user_id uuid, p_is_active boolean, p_caller_id uuid)",SD,True,True,True,True,True,profiles;user_audit_log,False,auth.uid,src/app/api/users/toggle-status/route.ts,,False,False,C2
19,138107,"public.managed_update_membership(p_membership_id uuid, p_role user_role, p_status text, p_caller_id uuid)",SD,True,True,True,True,True,user_audit_log;user_store_memberships,False,has_store_role,src/app/api/users/[id]/memberships/[membershipId]/route.ts,,False,False,C2
20,138144,"public.managed_update_tenant_plan(p_tenant_id uuid, p_plan plan_t, p_subscription_status text, p_caller_id uuid)",SD,True,True,True,True,True,profiles;user_audit_log,False,auth.uid,src/app/api/billing/webhook/route.ts,,False,False,C2
21,138103,"public.managed_update_user(p_user_id uuid, p_full_name text, p_role user_role, p_role_id uuid, p_is_active boolean, p_max_stores_limit integer, p_max_users_limit integer, p_plan plan_t, p_caller_id uuid)",SD,True,True,True,True,True,profiles;user_audit_log,False,auth.uid,src/app/api/users/[id]/route.ts,,False,False,C2
22,138110,"public.reconcile_orphan_user(p_auth_user_id uuid, p_action text, p_reason text, p_caller_id uuid)",SD,True,True,True,True,True,orphaned_users_log;profiles;user_audit_log,False,is_admin,src/app/api/users/[id]/reconcile/route.ts,,False,False,C2
23,138208,"public.reopen_cash_shift(p_closure_id uuid, p_reason text, p_user_id uuid)",SD,True,True,True,True,True,audit_logs,False,has_store_role_as,src/app/api/cash-closures/reopen/route.ts,,False,False,C2
24,138622,"public.reverse_production_order(p_order_id uuid, p_reason text, p_user_id uuid)",SD,True,True,True,True,True,audit_logs,False,has_store_access_as,src/app/api/reverse/route.ts,,False,False,C2
25,138188,"public.reverse_transaction_v2(p_transaction_id uuid, p_reason text, p_user_id uuid)",SD,True,True,True,True,True,audit_logs,False,has_store_access_as,src/app/api/reverse/route.ts,,False,False,C2
26,138596,"public.set_received_service_status(p_service_id uuid, p_new_status text, p_user_id uuid, p_reason text)",SD,True,True,True,True,True,audit_logs,False,has_store_access,src/app/api/received-services/route.ts,,False,False,C2
27,138595,"public.void_received_service_with_reversal(p_service_id uuid, p_user_id uuid, p_reason text, p_operation_date timestamp with time zone)",SD,True,True,True,True,True,audit_logs,False,has_store_access,src/app/api/received-services/route.ts,,False,False,C2
28,138218,public.audit_cash_closures_changes(),SD,True,True,True,True,True,audit_logs,False,auth.uid,,,True,False,C1B
29,138220,public.audit_commission_payments_changes(),SD,True,True,True,True,True,audit_logs,False,auth.uid,,,True,False,C1B
30,138222,public.audit_fiscal_closings_changes(),SD,True,True,True,True,True,audit_logs,False,auth.uid,,,True,False,C1B
31,138224,public.audit_payment_transactions_changes(),SD,True,True,True,True,True,audit_logs,False,,,,True,False,C1B
32,141788,"public.create_sale_v2(p_store_id uuid, p_seller_id uuid, p_items jsonb, p_payment_method text, p_discount_type text, p_discount_value numeric, p_applied_taxes jsonb, p_tax_amount numeric, p_total_amount numeric, p_subtotal numeric, p_cash_amount numeric, p_transfer_amount numeric, p_zelle_amount numeric, p_sale_currency text, p_sale_exchange_rate numeric, p_customer_id uuid, p_customer_name text, p_supervisor_user_id uuid, p_idempotency_key text, p_operation_date timestamp with time zone, p_user_id uuid)",SD,True,True,True,True,True,audit_logs,False,has_store_access_as;has_store_role_as,src/app/api/pos/checkout/route.ts;src/app/api/sync/batch/route.ts,,False,False,C3
33,138544,"public.receive_against_po(p_po_id uuid, p_received_items jsonb, p_user_id uuid, p_reception_date timestamp with time zone, p_invoice_number text)",SD,True,True,True,True,True,audit_logs,False,has_store_access,src/app/api/purchase-orders/[id]/route.ts,,False,False,C3
34,138536,"public.register_reception(p_store_id uuid, p_supplier text, p_reception_date timestamp with time zone, p_invoice_number text, p_items jsonb, p_user_id uuid, p_po_id uuid)",SD,True,True,True,True,True,audit_logs,False,has_store_access_as,src/app/api/inventory/receptions/route.ts;src/app/api/sync/batch/route.ts;src/hooks/api/useInventory,receive_against_po,False,False,C3
35,138210,public.reverse_commissions_on_sale_void(),SD,True,True,True,True,True,audit_logs,False,,,,True,False,C1B
36,138196,"public.reverse_receipt_v2(p_receipt_id uuid, p_reason text, p_user_id uuid)",SD,True,True,True,True,True,audit_logs,False,,src/app/api/reverse/route.ts;src/hooks/api/useReceptions.ts,,False,False,C3
37,138551,"public.set_purchase_order_status(p_po_id uuid, p_new_status purchase_status_enum, p_user_id uuid, p_reason text)",SD,True,True,True,True,True,audit_logs,False,has_store_access,src/app/api/purchase-orders/[id]/route.ts,,False,False,C3
38,138619,"public.void_closed_production_order(p_order_id uuid, p_reason text, p_user_id uuid)",SD,True,True,True,True,True,audit_logs,False,has_store_access_as,src/app/api/production-orders/[id]/void/route.ts,,False,False,C3
39,138819,"public.void_pending_reception(p_receipt_id uuid, p_user_id uuid, p_reason text, p_operation_date timestamp with time zone)",SD,True,True,True,True,True,audit_logs,False,has_store_access_as,src/hooks/api/useReceptions.ts,,False,False,C3
40,138000,"public.void_transaction(p_transaction_id uuid, p_reason text, p_operation_date timestamp with time zone, p_user_id uuid)",SD,True,True,True,True,True,audit_logs,False,has_store_access_as,src/hooks/api/useDocumentActions.ts,,False,False,C3
41,38098,public.audit_store_access_changes(),SD,False,False,True,True,True,audit_logs,False,auth.uid,,,False,False,C4
42,21756,public.cleanup_expired_idempotency_keys(),SD,False,False,True,True,True,idempotency_keys,False,,,,False,False,C4
43,26951,"public.fn_process_sale(p_items jsonb, p_cashier_id uuid, p_payment_method text)",SD,False,False,True,True,True,audit_logs,False,auth.uid,,,False,False,C4
44,26952,"public.fn_void_receipt(p_receipt_id uuid, p_user_id uuid)",SD,False,False,True,True,True,audit_logs,False,,,,False,False,C4
45,137574,public.generate_confirmation_token(p_session_id uuid),SD,False,False,True,True,True,restore_sessions,False,,,,False,False,C4
46,20172,public.generate_inventory_snapshot(p_store_id uuid),SD,False,False,True,True,True,inventory_snapshots,False,,,,False,False,C4
47,88135,"public.log_audit_event(p_action text, p_payload jsonb, p_store_id uuid)",SD,False,False,True,True,True,audit_events,False,auth.uid,,,False,False,C4
48,38673,"public.managed_create_store(p_name text, p_address text)",SD,False,False,True,True,True,stores,False,auth.uid,,,False,False,C4
