oid,signature,name,test_only,owner,security_definer,exposure_actual,roles_a_revocar,service_role_actual,postgres_actual,guardas,consumidor_app,consumidor_db,clasificacion,legitimo,accion,justificacion
136514,"public.auto_match_bank_items(p_statement_id uuid, p_user_id uuid)",auto_match_bank_items,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,api/bank-reconciliation/match,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
138112,"public.bulk_assign_memberships(p_user_id uuid, p_assignments jsonb)",bulk_assign_memberships,False,postgres,True,PUBLIC+anon+authenticated,authenticated+anon+PUBLIC,True,True,sin-guarda,api/users/[id]/memberships/bulk,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
136484,"public.calculate_abc(p_store_id uuid, p_year integer, p_month integer, p_user_id uuid)",calculate_abc,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,api/abc-analysis,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
132722,public.calculate_service_distribution(p_service_id uuid),calculate_service_distribution,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,api/received-services/distribute,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
132926,public.cleanup_old_aggregates(p_days integer),cleanup_old_aggregates,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,api/cron/usage-sync,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
137076,"public.close_fiscal_period(p_store_id uuid, p_year integer, p_month integer, p_user_id uuid)",close_fiscal_period,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,(ninguno runtime),(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
138865,"public.create_devolution_v2(p_store_id uuid, p_items jsonb, p_reason text, p_user_id uuid, p_original_transaction_id uuid, p_payment_method text, p_customer_id uuid, p_customer_name text, p_notes text, p_idempotency_key text)",create_devolution_v2,False,postgres,True,PUBLIC+anon+authenticated,authenticated+anon+PUBLIC,True,True,sin-guarda,(ninguno runtime),(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
138630,"public.create_production_order_v2(p_store_id uuid, p_order_type text, p_customer_name text, p_customer_ci text, p_customer_phone text, p_customer_address text, p_budget_total numeric, p_budget_currency text, p_description text, p_notes text, p_items jsonb, p_advance_amount numeric, p_advance_method text, p_advance_currency text, p_created_by uuid, p_idempotency_key text)",create_production_order_v2,False,postgres,True,PUBLIC+anon+authenticated,authenticated+anon+PUBLIC,True,True,sin-guarda,api/production-orders,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
136270,"public.create_quotation(p_store_id uuid, p_items jsonb, p_user_id uuid, p_customer_id uuid, p_customer_name text, p_customer_phone text, p_discount_type text, p_discount_value numeric, p_notes text, p_valid_until date)",create_quotation,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,api/quotations,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
138592,"public.create_received_service_v2(p_store_id uuid, p_supplier text, p_total_amount numeric, p_service_type_id uuid, p_service_type_name text, p_service_date date, p_currency text, p_exchange_rate numeric, p_payment_terms_days integer, p_distribution_method text, p_reference_doc text, p_observations text, p_receipt_ids jsonb, p_created_by uuid)",create_received_service_v2,False,postgres,True,PUBLIC+anon+authenticated,authenticated+anon+PUBLIC,True,True,sin-guarda,api/received-services,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
138597,"public.distribute_service_cost_v2(p_service_id uuid, p_user_id uuid)",distribute_service_cost_v2,False,postgres,True,PUBLIC+anon+authenticated,authenticated+anon+PUBLIC,True,True,sin-guarda,api/received-services/distribute,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
136705,"public.duplicate_inventory_adjustment(p_original_id uuid, p_user_id uuid)",duplicate_inventory_adjustment,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,scripts/test_adjustments_e2e.mjs; api/inventory/adjustments/duplicate,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
138870,"public.duplicate_inventory_adjustment_v2(p_original_id uuid, p_user_id uuid)",duplicate_inventory_adjustment_v2,False,postgres,True,PUBLIC+anon+authenticated,authenticated+anon+PUBLIC,True,True,sin-guarda,(ninguno runtime),(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
132723,"public.get_product_cost_analysis(p_product_id uuid, p_store_id uuid)",get_product_cost_analysis,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,api/received-services/analysis,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
136513,"public.get_reorder_suggestions(p_store_id uuid, p_user_id uuid)",get_reorder_suggestions,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,api/reorder-suggestions,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
132924,public.get_usage_summary(p_hours integer),get_usage_summary,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,api/usage/summary,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
138149,"public.has_store_role_as(p_user_id uuid, p_store_id uuid, p_roles text[])",has_store_role_as,True,postgres,True,PUBLIC+anon+authenticated,authenticated+anon+PUBLIC,True,True,sin-guarda,(ninguno runtime),"create_sale_v2 (SD, definer=postgres); reopen_cash_shift (SD, definer=postgres)",C2-E,No (solo aserción estática sobre archivos de migración; 0 call-sites runtime),REVOKE externos + conservar con service_role,"Test-only: consumidores = tests que leen archivos de migración (readFileSync), no ejecutan RPC. Llamadores DB internos SD: create_sale_v2 (SD, definer=postgres), reopen_cash_shift (SD, definer=postgres); contexto definer=postgres, EXECUTE interno no afectado. Se conserva la función con privilegios restringidos (opción 2); no requiere migración de test."
138375,public.is_tenant_member(p_tenant_id uuid),is_tenant_member,True,postgres,True,PUBLIC+anon+authenticated,authenticated+anon+PUBLIC,True,True,sin-guarda,(ninguno runtime),(ninguno),C2-E,No (solo aserción estática sobre archivos de migración; 0 call-sites runtime),REVOKE externos + conservar con service_role,"Test-only: consumidores = tests que leen archivos de migración (readFileSync), no ejecutan RPC. Sin llamadores DB. Se conserva la función con privilegios restringidos (opción 2); no requiere migración de test."
136256,"public.lock_fiscal_period(p_store_id uuid, p_year integer, p_month integer)",lock_fiscal_period,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,(ninguno runtime),(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
135446,public.purge_old_reset_snapshots(p_days integer),purge_old_reset_snapshots,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,api/cron/purge-snapshots,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
137077,"public.receive_to_warehouse(p_store_id uuid, p_product_id uuid, p_quantity numeric, p_unit_cost numeric, p_warehouse_id uuid, p_lot_number text, p_expiration_date date, p_user_id uuid, p_reason text)",receive_to_warehouse,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,api/receive-to-warehouse,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
136656,"public.reverse_adjustment(p_adjustment_id uuid, p_reason text, p_user_id uuid)",reverse_adjustment,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,scripts/test_adjustments_e2e.mjs; scripts/test_reverse_all_live.mjs; scripts/test_reverse_e2e_full.mjs,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
136657,"public.reverse_devolution(p_devolution_id uuid, p_reason text, p_user_id uuid)",reverse_devolution,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,scripts/test_reverse_all_live.mjs; scripts/test_reverse_e2e_full.mjs,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
138622,"public.reverse_production_order(p_order_id uuid, p_reason text, p_user_id uuid)",reverse_production_order,False,postgres,True,PUBLIC+anon+authenticated,authenticated+anon+PUBLIC,True,True,sin-guarda,scripts/test_reverse_all_live.mjs; scripts/test_reverse_e2e_full.mjs,(ninguno),C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria.
136654,"public.reverse_receipt(p_receipt_id uuid, p_reason text, p_user_id uuid)",reverse_receipt,False,postgres,True,authenticated,authenticated,True,True,sin-guarda,scripts/test_reverse_all_live.mjs; scripts/test_reverse_e2e_full.mjs,"reverse_receipt_v2 (SD, definer=postgres)",C2-B,Sí (service_role/server-only),REVOKE PUBLIC/anon/authenticated + GRANT service_role,"Todos los consumidores runtime son API routes/scripts con cliente service_role (SUPABASE_SERVICE_ROLE_KEY via getSupabaseAdminSafe o createClient inline). Llamadores DB internos SD: reverse_receipt_v2 (SD, definer=postgres). Ningún consumidor authenticated/anon/browser. Exposición authenticated = innecesaria."
