product_id,sku,name,stock_current,inventory_qty,ledger_qty,difference,evidence_source,classification,match_status
d097619e,CAT-0029,Expansiones 8x80,532,,0,532,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
f648c3f8,CAT-0081,Bridas de 4x8 400mm,497,,0,497,backup+ops_post_08-02(parcial),MISSING_LEDGER,LEDGER_CONFLICT_POST_BACKUP
20113ad5,CAT-0106,Tornillo con arandela,496,,0,496,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
c8b1ce8a,CAT-0078,Tornillo con tuerca 4.8,322,,0,322,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
64551ca6,CAT-0012,Cable Conductor electrico 10,289,,0,289,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
69e4f894,CAT-0013,Cable Conductor electrico 8,274,,0,274,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
5d7b5973,CAT-0110,Intermedio,217,,0,217,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
e05066d4,CAT-0096,Barrena 5mm Madera,212,,0,212,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
4af0518f,CAT-0022,Conectores MC4,204,,0,204,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
53a5555e,CAT-0113,Goma Termo Retractil,200,,0,200,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
402c85ed,CAT-0065,Terminales eléctricas,130,,0,130,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
c24ad180,CAT-0097,Disco de corte,122,,0,122,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
5c57135f,CAT-0071,Uniones de media/Niple macho,106,,0,106,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
7f77f10d,CAT-0099,Electrodo 4mm,100,,0,100,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
0a1bce2e,CAT-0112,Grapas metalicas 3/4 con torni,100,,0,100,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
bc4498c8,CAT-0066,Tornillo M10,98,,0,98,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
983e5726,CAT-0087,Cable Solar Negro 4mm,95.5,,0,95.5,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
670a4628,CAT-0109,inicio Z,94,,0,94,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
99885245,CAT-0088,Cable Solar Rojo 4mm,91.5,,0,91.5,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
0ce83da7,CAT-0058,Rosca Chapa,90,,0,90,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
52a00c8f,CAT-0070,Unión universal de media,82,,0,82,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
ce3b523f,CAT-0041,Latiguillo MC4,72,,0,72,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
2a822efb,CAT-0011,Cabilla 70 Cm,70,,0,70,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
af42b21f,CAT-0035,Fuete eléctrico,68,,0,68,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
45f4a79c,CAT-0030,Expansiones anaranjada 6*40mm ,50,,0,50,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
f9fa0dbc,CAT-0111,Grapas plasticas con clavo de ,49,,0,49,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
32ac0c01,CAT-0098,Limpia parabrisa,42,,0,42,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
4b15ea41,CAT-0047,Mortero,40,,0,40,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
d96b0781,CAT-0052,Pintura Verde 4L,39,,0,39,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
08c9acfd,CAT-0009,Brecker D63 A,38,,0,38,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
8d81d8dc,CAT-0048,Nudo de media,38,,0,38,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
435fb1f5,CAT-0095,Barrena 34mm Madera,36,,0,36,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
8d4c7a66,CAT-0028,Espejo,36,,0,36,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
da1c4090,CAT-0002,Abrazade metálica de 1 pulgada,966,,0,966,backup+ops_post_08-02(parcial),MISSING_LEDGER,LEDGER_CONFLICT_POST_BACKUP
194cfc6d,CAT-0019,Codo de 90,29,,0,29,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
2999d90d,CAT-0075,Espigas de 15 AMP,28,,0,28,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
f5c8fd29,CAT-0103,Perfiles para brecker,27,,0,27,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
017b2f62,CAT-0037,J de techo,26,,0,26,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
2d706d15,CAT-0061,T de media,26,,0,26,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
2babc6c7,CAT-0038,Lampara de 20,25,,0,25,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
dd469f07,CAT-0017,Césped Artificial,24,,0,24,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
721b1217,CAT-0114,Combustible,20,,0,20,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
e47421ea,CAT-0001,Abrazade metálica de 3/4,19,,0,19,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
887141dc,CAT-0104,Terminales cubanas,18,,0,18,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
60e81773,CAT-0014,Distribuidor de corriente 4 sa,16,,0,16,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
bc972d77,CAT-0015,Cemento Cola,16,,0,16,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
0f0f9cc8,CAT-0051,Pintura Casa Blanca 14L,15,,0,15,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
5585361e,CAT-0020,Codos de 45 grado,14,,0,14,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
3b68e6e7,CAT-0031,Expansiones con tornillos M6,14,,0,14,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
207b1d1e,CAT-0039,Tubo de Lampara de 40,14,,0,14,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
2a59f5e1,CAT-0032,Expansiones con tornillos M8,10,,0,10,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
3f108b20,CAT-0027,Escobas,10,,0,10,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
fc605995,CAT-0102,Cajas eléctricas,10,,0,10,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
e533e794,CAT-0079,Interruptor y toma corriente,10,,0,10,backup_20260802_payload(exacto),MISSING_LEDGER,MATCH_BACKUP
