product_id,sku,name,stock_current,origin,backup_stock_0802,backup_inventory_0802,origin_class,stock_reality,evidence
d097619e,CAT-0029,Expansiones 8x80,532,bulk_import_20260730_ledger_backfill,532,532,FROZEN_FROM_BACKUP,REAL_STOCK_SUPPORTED,stock_current == backup.products.stock_current == backup.inventory.quantity
f648c3f8,CAT-0081,Bridas de 4x8 400mm,497,bulk_import_20260730 + ops_post_08-02,501,501,MUTATED_POST_BACKUP,REAL_STOCK_SUPPORTED,delta post-08-02 no reconstruible (audit sin items)
20113ad5,CAT-0106,Tornillo con arandela,496,bulk_import_20260730_ledger_backfill,496,496,FROZEN_FROM_BACKUP,REAL_STOCK_SUPPORTED,stock_current == backup.products.stock_current == backup.inventory.quantity
c8b1ce8a,CAT-0078,Tornillo con tuerca 4.8,322,bulk_import_20260730_ledger_backfill,322,322,FROZEN_FROM_BACKUP,REAL_STOCK_SUPPORTED,stock_current == backup.products.stock_current == backup.inventory.quantity
64551ca6,CAT-0012,Cable Conductor electrico 10,289,bulk_import_20260730_ledger_backfill,289,289,FROZEN_FROM_BACKUP,REAL_STOCK_SUPPORTED,stock_current == backup.products.stock_current == backup.inventory.quantity
69e4f894,CAT-0013,Cable Conductor electrico 8,274,bulk_import_20260730_ledger_backfill,274,274,FROZEN_FROM_BACKUP,REAL_STOCK_SUPPORTED,stock_current == backup.products.stock_current == backup.inventory.quantity
5d7b5973,CAT-0110,Intermedio,217,bulk_import_20260730_ledger_backfill,217,217,FROZEN_FROM_BACKUP,REAL_STOCK_SUPPORTED,stock_current == backup.products.stock_current == backup.inventory.quantity
e05066d4,CAT-0096,Barrena 5mm Madera,212,bulk_import_20260730_ledger_backfill,212,212,FROZEN_FROM_BACKUP,REAL_STOCK_SUPPORTED,stock_current == backup.products.stock_current == backup.inventory.quantity
4af0518f,CAT-0022,Conectores MC4,204,bulk_import_20260730_ledger_backfill,204,204,FROZEN_FROM_BACKUP,REAL_STOCK_SUPPORTED,stock_current == backup.products.stock_current == backup.inventory.quantity
53a5555e,CAT-0113,Goma Termo Retractil,200,bulk_import_20260730_ledger_backfill,200,200,FROZEN_FROM_BACKUP,REAL_STOCK_SUPPORTED,stock_current == backup.products.stock_current == backup.inventory.quantity
402c85ed,CAT-0065,Terminales eléctricas,130,bulk_import_20260730_ledger_backfill,130,130,FROZEN_FROM_BACKUP,REAL_STOCK_SUPPORTED,stock_current == backup.products.stock_current == backup.inventory.quantity
c24ad180,CAT-0097,Disco de corte,122,bulk_import_20260730_ledger_backfill,122,122,FROZEN_FROM_BACKUP,REAL_STOCK_SUPPORTED,stock_current == backup.products.stock_current == backup.inventory.quantity
5c57135f,CAT-0071,Uniones de media/Niple macho,106,bulk_import_20260730_ledger_backfill,106,106,FROZEN_FROM_BACKUP,REAL_STOCK_SUPPORTED,stock_current == backup.products.stock_current == backup.inventory.quantity
7f77f10d,CAT-0099,Electrodo 4mm,100,bulk_import_20260730_ledger_backfill,100,100,FROZEN_FROM_BACKUP,REAL_STOCK_SUPPORTED,stock_current == backup.products.stock_current == backup.inventory.quantity
