store_id,product_id,sku,name,stock_current,inventory_qty,movs_sum,movs_n,classification
007a3c33,5ed7e318-8edf-4a4c-ac04-9ef104fce494,HR6BA-1786059504,Hot R6B Prod A,20,MISSING,0,0,ORPHAN_FULL
0fed91c9,3b186518-048f-492f-8dcb-7569fd33678e,HR6DA-1786059736,Hot R6D Prod A,20,MISSING,0,0,ORPHAN_FULL
0fed91c9,dbdd1347-16a5-4fbb-abe4-b97844a25bf8,CAT-0002,Abrazade metálica de 1 pulga,1,MISSING,0,0,ORPHAN_FULL
11111111,a0000002-0000-0000-0000-000000000002,PAN-001,Pan Francés,100,MISSING,0,0,ORPHAN_FULL
11111111,a0000003-0000-0000-0000-000000000003,CERV-330,Cerveza Nacional,48,MISSING,0,0,ORPHAN_FULL
11111111,a0000001-0000-0000-0000-000000000001,COCA-500,Coca Cola 500ml,24,MISSING,0,0,ORPHAN_FULL
11111111,a0000004-0000-0000-0000-000000000004,ARROZ-5K,Arroz 5kg,15,MISSING,0,0,ORPHAN_FULL
11111111,a0000005-0000-0000-0000-000000000005,ACEITE-1L,Aceite Vegetal 1L,2,MISSING,0,0,ORPHAN_FULL
1f44ac81,5e70b187-8d1e-42b3-914b-dad7ac1121d1,HTPB-1786057888,Hot Transfer Prod B,5,MISSING,0,0,ORPHAN_FULL
1f44ac81,c8655d53-9f3a-418e-a942-8f83657c17c1,HTPA-1786057888,Hot Transfer Prod A,5,MISSING,0,0,ORPHAN_FULL
40f651f4,2f708846-2a43-4112-a7b2-c1b525334f11,HR6DB-1786059736,Hot R6D Prod B,20,MISSING,0,0,ORPHAN_FULL
4ceef696,a3284d9f-dd91-410e-ab13-105cf76e344f,PHA-1785995943,Producto Hot A,9,MISSING,0,0,ORPHAN_FULL
4ceef696,63150131-f1e5-4112-8311-2f72f2d19006,CAT-0002,Abrazade metálica de 1 pulga,1,MISSING,0,0,ORPHAN_FULL
50865d50,fd7c76e7-eecf-428e-9dd5-d18a83e7658c,HTPA-1786057783,Hot Transfer Prod A,14,MISSING,0,0,ORPHAN_FULL
50e7ad25,228aaf45-5366-4ff1-ab6a-84236db03355,HR2PB-1786058718,Hot R2 Prod B,49,MISSING,0,0,ORPHAN_FULL
58e9f839,d557c557-7527-4ade-b866-fc17e225aad6,HTPA-1786057783,Hot Transfer Prod A,5,MISSING,0,0,ORPHAN_FULL
58e9f839,64b5ece2-7f1d-46da-bb40-19e02290efd6,HTPB-1786057783,Hot Transfer Prod B,5,MISSING,0,0,ORPHAN_FULL
67ac1e6d,80a77b2d-56d8-4c39-a3dd-ee9df90e67bb,PHB-1785995943,Producto Hot B,4,MISSING,0,0,ORPHAN_FULL
68d301f2,7186d3db-236a-497e-b489-9b2bcb9e655c,HTPA-1786060163,Hot Transfer Prod A,5,MISSING,0,0,ORPHAN_FULL
68d301f2,a9d69ba3-89ad-4a74-a2fe-6107e88abfa3,HTPB-1786060163,Hot Transfer Prod B,5,MISSING,0,0,ORPHAN_FULL
9a46d5c7,bd3e1f99-7960-402b-bc69-98ef6ed816ca,HTPA-1786058486,Hot Transfer Prod A,5,MISSING,0,0,ORPHAN_FULL
9a46d5c7,b82ba7b9-ef2a-469a-aa77-5e73be4e02d3,HTPB-1786058486,Hot Transfer Prod B,5,MISSING,0,0,ORPHAN_FULL
9fcc7ca2,53eda0db-71a9-42ef-9115-015ac10887f2,HR3PA-1786058841,Hot R3 Prod A,9,MISSING,0,0,ORPHAN_FULL
aad38a68,e3e07ec2-574f-4cd1-8b5c-59a221b2e122,HR6CA-1786059605,Hot R6C Prod A,20,MISSING,0,0,ORPHAN_FULL
b3345abc,055c3507-4299-44ff-a3b4-6efc9278a96d,ATP-1786059177,Archive Test Prod,10,MISSING,0,0,ORPHAN_FULL
bbb7d9e6,40c2f3b9-d057-4fcb-bf12-68b3f18707ab,HTPA-1786057888,Hot Transfer Prod A,14,MISSING,0,0,ORPHAN_FULL
beacb645,49a02475-f48a-41ac-99f7-918dea5e99e0,HTPA-1786060163,Hot Transfer Prod A,14,MISSING,0,0,ORPHAN_FULL
c135c50a,fe921801-f922-40fb-9b28-b0add23a532a,HR6BB-1786059504,Hot R6B Prod B,20,MISSING,0,0,ORPHAN_FULL
c3a45a39,34296916-1745-4dc7-bb9a-13b858439613,CSP-1786059177,Cross Store Prod,10,MISSING,0,0,ORPHAN_FULL
c3d20f20,db9c15e7-9e2f-48b4-998f-35d39730e417,HR2PA-1786058718,Hot R2 Prod A,50,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,da1c4090-3e10-4120-a2bc-24da53cffe16,CAT-0002,Abrazade metálica de 1 pulga,966,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,d097619e-6801-4f31-bee9-a76287af7530,CAT-0029,Expansiones 8x80,532,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,f648c3f8-0c60-4559-b76b-95bc02d9a816,CAT-0081,Bridas de 4x8 400mm,497,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,20113ad5-0460-4fa7-8521-52a5f16bc708,CAT-0106,Tornillo con arandela,496,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,c8b1ce8a-1ae2-44e5-a51e-53ad46b47f67,CAT-0078,Tornillo con tuerca 4.8,322,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,64551ca6-5488-42e7-a230-428502fc2476,CAT-0012,Cable Conductor electrico 10,289,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,69e4f894-9bdc-4401-ad07-102da972b11b,CAT-0013,Cable Conductor electrico 8,274,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,5d7b5973-abab-4769-af06-78993d0a39b9,CAT-0110,Intermedio,217,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,e05066d4-f1a4-44fe-98f4-b068afc571c7,CAT-0096,Barrena 5mm Madera,212,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,4af0518f-ff97-4129-b44c-10d62e5e0c68,CAT-0022,Conectores MC4,204,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,53a5555e-9788-4cd8-a068-00f17a95ed60,CAT-0113,Goma Termo Retractil,200,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,402c85ed-1067-418b-932f-5b6ead480975,CAT-0065,Terminales eléctricas,130,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,c24ad180-6d3f-4dfd-9625-d569b396951b,CAT-0097,Disco de corte,122,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,5c57135f-b7a9-4953-93d9-d7718ab178ba,CAT-0071,Uniones de media/Niple macho,106,MISSING,0,0,ORPHAN_FULL
d1c4ba0e,0a1bce2e-6fbd-4cc3-9f90-91c3cc90aae6,CAT-0112,Grapas metalicas 3/4 con tor,100,MISSING,0,0,ORPHAN_FULL
