product_id,sku,name,units_orphan,cost_average,estimated_value,valuation_label,origin_class,cost_evidence
e47421ea-f9aa-452b-b20b-4601ec12410f,CAT-0001,Abrazade metálica de 3/4,19,489.99999999999994,9310.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
da1c4090-3e10-4120-a2bc-24da53cffe16,CAT-0002,Abrazade metálica de 1 pulgada,966,11.919422583856775,11514.16,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
c4870c06-9332-4db2-b060-70d1fa8ea90c,CAT-0003,Araganes,4,2240,8960.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
7d0751af-9fa4-4876-84b7-a28520f299d7,CAT-0004,Bisagra,4,5600,22400.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
69824282-4994-4615-aaf2-896466f9e781,CAT-0005,Brecker 16A Sencillo,4,2800,11200.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
0e9d781a-4eed-42ef-baa2-09b3ea1d990c,CAT-0006,Brecker 25 A Sencillo,2,2800,5600.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
e65916ea-9ca2-4e25-a78f-6be15b46a912,CAT-0007,Brecker 32A Trifasico,1,4200,4200.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
08c9acfd-e10d-44f2-b25f-870d632dbe18,CAT-0009,Brecker D63 A,38,15749.999999999998,598500.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
5dd7ff57-9c62-4431-baba-229f9cf62acf,CAT-0010,Brida 58,2,210,420.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
2a822efb-97fb-4235-b154-f983d1f840b5,CAT-0011,Cabilla 70 Cm,70,489.99999999999994,34300.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
64551ca6-5488-42e7-a230-428502fc2476,CAT-0012,Cable Conductor electrico 10,289,1890,546210.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
69e4f894-9bdc-4401-ad07-102da972b11b,CAT-0013,Cable Conductor electrico 8,274,2100,575400.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
60e81773-46ed-4995-8af1-771f85a97fa7,CAT-0014,Distribuidor de corriente 4 salidas,16,700,11200.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
bc972d77-5e59-46f5-84a3-9249e1637f17,CAT-0015,Cemento Cola,16,14000,224000.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
dd469f07-d038-458c-95c6-4e8cc1aac693,CAT-0017,Césped Artificial,24,9100,218400.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
9da60d14-0a0e-4070-83ca-f3ea689bff25,CAT-0018,Cheques metálicos,4,4900,19600.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
194cfc6d-3752-4d2a-94c7-8cb29427cffc,CAT-0019,Codo de 90,29,280,8120.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
5585361e-3eec-4d7d-a9f1-6c748d875a6a,CAT-0020,Codos de 45 grado,14,280,3920.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
01301a54-816a-4e32-9bd4-0d126d2f91c4,CAT-0021,Colchón Milexus,1,138600,138600.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
4af0518f-ff97-4129-b44c-10d62e5e0c68,CAT-0022,Conectores MC4,204,4410,899640.00,ESTIMATED,,cost_average(WAC) del sistema al corte; sin cost_at_sale/purchase_cost verificable por unidad
