NC_ID,DOCUMENT_NUMBER,SURFACE,EXPECTED_UNDER_CREATION_MODEL_2026_08,ACTUAL_AS_OF_REM_INV_1_2026_09_12,DELTA_CLASS,RE_VERIFICATION_STATUS
42f89372-a76c-4e45-b2c7-a14252723f3e,NC-000008-2026,inventory,deposito temporal de 999u en products.stock_current (v2_19_4: UPDATE products directo) — jamás integrado al inventario vigente,products.stock_current actual NO contiene las 999u (r01 REM-INV-1: inventario global consistente),CONSISTENT_TODAY,REENUMERAR_EN_ACCESO
42f89372-a76c-4e45-b2c7-a14252723f3e,NC-000008-2026,stock_movements,1 movimiento 'return' +999 (creado por register_stock_movement en v2_19_4),0 movimientos (d2: n_return_movs=0),EFFECTS_PURGED_BY_RESET,REENUMERAR_EN_ACCESO
42f89372-a76c-4e45-b2c7-a14252723f3e,NC-000008-2026,kardex,1 fila 'devolution_in' 999u (v2_19_4),0 filas refiriendo devoluciones (obs1 A-matrix: 0 vivo),EFFECTS_PURGED_BY_RESET,REENUMERAR_EN_ACCESO
42f89372-a76c-4e45-b2c7-a14252723f3e,NC-000008-2026,payments/transactions,NINGUNO — la integración financiera de devoluciones (DF-03) no existía el 2026-08-06 (llegó con W7 20260830/w9),0 pagos (REM-INV-1; obs1: payment_transactions sin refs a devoluciones),NONE_EXPECTED,REENUMERAR_EN_ACCESO
42f89372-a76c-4e45-b2c7-a14252723f3e,NC-000008-2026,audit_logs,1 fila DEVOLUTION_CREATED_V2 (v2_19_4),FILA PRESENTE (audit_creation=DEVOLUTION_CREATED_V2 en obs1/03),PRESENT,REENUMERAR_EN_ACCESO
0b7213e9-344a-4aa0-876d-316be9c6ff2e,NC-000007-2026,inventory,+1 products (v2_19_4) −1 products (reverse v2.2 legacy GREATEST(0,S-q)) → neto 0,drift Caso A (inventory=products+1) generado y luego eliminado por reset (obs1 §root cause),RESOLVED_BY_RESET,REENUMERAR_EN_ACCESO
0b7213e9-344a-4aa0-876d-316be9c6ff2e,NC-000007-2026,stock_movements,1 'return' +1 (creación) + 1 'devolution_reverse' −1 (reverse B-10b no existía aún; reverse legacy no creaba movimientos),0 movimientos,EFFECTS_PURGED_BY_RESET,REENUMERAR_EN_ACCESO
0b7213e9-344a-4aa0-876d-316be9c6ff2e,NC-000007-2026,payments/transactions,NINGUNO (modelo 2026-08 sin DF-03),0,NONE_EXPECTED,REENUMERAR_EN_ACCESO
0b7213e9-344a-4aa0-876d-316be9c6ff2e,NC-000007-2026,audit_logs,DEVOLUTION_CREATED_V2 + (reverse legacy: sin audit),DEVOLUTION_CREATED_V2 presente (obs1/03: audit_creation),PRESENT,REENUMERAR_EN_ACCESO
NC-000001..000006,000009..000012,DEV-2026-828651,inventory+movements+kardex,1 'return' + kardex 'devolution_in' por ítem (v2_19_4; DEV-828651 por v2_17_2),0 movimientos / 0 kardex (REM-INV-1 13/13; obs1 03: stock_movements_linked=0),EFFECTS_PURGED_BY_RESET,REENUMERAR_EN_ACCESO
NC-000001..000012 + DEV-2026-828651,TODAS,payments,NINGUNO (DF-03 no existía en la era de creación),0 pagos (obs1 §FINANCIAL IMPACT=0),NONE_EXPECTED,REENUMERAR_EN_ACCESO
