NC_ID,DOCUMENT_NUMBER,AUDIT_CREATED_V2,AUDIT_REVERSE_DEVOLUTION,AUDIT_PURGE_RESET,SOURCE_EVIDENCE
379122c3-ceab-4e51-8ac3-5cf0de8beb28,DEV-2026-828651,PRESENT (obs1/03 audit_creation=DEVOLUTION_CREATED_V2),N/A,NO TRAZA — resets_store_data no dejan audit (hallazgo backlog obs1),obs1/03
74cfd314-45c3-47a0-bd48-5e6f16b58b44,NC-000001-2026,PRESENT (obs1/03),N/A,NO TRAZA,obs1/03
2a7934b7-9503-48cd-9240-c7606b486eb7,NC-000002-2026,PRESENT (obs1/03),N/A,NO TRAZA,obs1/03
8bb4cfe5-2abf-4c4d-81fe-4ac33de732eb,NC-000003-2026,PRESENT (obs1/03),N/A,NO TRAZA,obs1/03
0778b5d5-bf72-4d9b-b9f7-e4192a29d33f,NC-000004-2026,PRESENT (obs1/03),N/A,NO TRAZA,obs1/03
a11e7aa5-863a-4e61-a041-04d33d1f66d2,NC-000005-2026,PRESENT (obs1/03),N/A,NO TRAZA,obs1/03
6c051892-b5ac-4fd6-be9b-546458119b96,NC-000006-2026,PRESENT (obs1/03),N/A,NO TRAZA,obs1/03
0b7213e9-344a-4aa0-876d-316be9c6ff2e,NC-000007-2026,PRESENT (obs1/03),AUSENTE (reverse legacy v2.2 no dejaba audit — corregido por B-10 20260905000002),NO TRAZA,obs1/03 + 02-historical-function.md
42f89372-a76c-4e45-b2c7-a14252723f3e,NC-000008-2026,PRESENT (obs1/03),N/A,NO TRAZA,obs1/03
def14222-1dc4-469d-9053-ddfbd28db7e8,NC-000009-2026,PRESENT (obs1/03),N/A,NO TRAZA,obs1/03
fb98424e-cf04-4fcf-ba65-099696179e2c,NC-000010-2026,PRESENT (obs1/03),N/A,NO TRAZA,obs1/03
903269d5-e624-4e52-958d-48e8bb84bde1,NC-000011-2026,PRESENT (obs1/03),N/A,NO TRAZA,obs1/03
c249cdcc-e0f8-43d6-b9c4-10e16daab9f3,NC-000012-2026,PRESENT (obs1/03),N/A,NO TRAZA,obs1/03
NOTA,La existencia de las filas DEVOLUTION_CREATED_V2 (13/13) es la prueba de autoría de create_devolution_v2 y de que los documentos NUNCA fueron 'sin pipeline' en su creación.,,Re-verificación puntual live: REENUMERAR_EN_ACCESO.,,,
