REM-INV-3R — 02 CURRENT CENSUS OF DEVOLUTIONS
Generated: 2026-09-13T02:29:19.991Z
All queries READ-ONLY (SELECT)

== TOTAL ==
count=25 min_created=2026-08-04 07:30:51.150879+00 max_created=2026-09-10 23:58:39.315276+00 sum_total_amount=355120.00

== BY STORE ==
store | n | sum_amount | completed | reversed | other
TIENDA CENTRAL COSTPRO | 13 | 353850.00 | 12 | 1 | 0
E2E2-ALPHA | 11 | 1200.00 | 11 | 0 | 0
AUDIT F4E1 STORE A 4f0d1e | 1 | 70.00 | 0 | 1 | 0

== BY STATUS ==
status | n | sum_amount
completed | 23 | 354700.00
reversed | 2 | 420.00

== BY NUMBER FORMAT ==
format | n | sum_amount
NC-% | 24 | 354770.00
DEV-% | 1 | 350.00

== BY CREATOR (processed_by) ==
processed_by | full_name | n | sum_amount | minc | maxc
a1111111-1111-1111-1111-111111111111 | Admin Demo | 14 | 353920.00 | 2026-08-04 07:30:51.150879+00 | 2026-09-07 03:41:27.715297+00
4c71ba55-d2a5-499e-a34e-ccf508b8df7f | E2E2 ALPHA_MANAGER | 11 | 1200.00 | 2026-09-10 22:21:18.543776+00 | 2026-09-10 23:58:39.315276+00

== FULL DUMP (all devolutions; PII minimized: customer_name/customer_phone omitted) ==
id | devolution_number | store | status | created_at | updated_at | original_transaction_id | reason | total_amount | currency | payment_method | processed_by | processed_at | reversed_at | reversal_reason | voided_at | void_reason | idempotency_key
379122c3-ceab-4e51-8ac3-5cf0de8beb28 | DEV-2026-828651 | TIENDA CENTRAL COSTPRO | completed | 2026-08-04 07:30:51.150879+00 | 2026-08-04 07:30:51.150879+00 | null | Hot test dev | 350.00 | CUP | cash | a1111111-1111-1111-1111-111111111111 | 2026-08-04 07:30:51.150879+00 | null | null | null | null | hot2-1785828650
74cfd314-45c3-47a0-bd48-5e6f16b58b44 | NC-000001-2026 | TIENDA CENTRAL COSTPRO | completed | 2026-08-06 03:30:00.537152+00 | 2026-08-06 03:30:00.537152+00 | null | Hot test OTel devolution | 350.00 | CUP | cash | a1111111-1111-1111-1111-111111111111 | 2026-08-06 03:30:00.537152+00 | null | null | null | null | dev-7fe37628-5571-46d5-b457-2dfb46413979
2a7934b7-9503-48cd-9240-c7606b486eb7 | NC-000002-2026 | TIENDA CENTRAL COSTPRO | completed | 2026-08-06 04:40:22.560617+00 | 2026-08-06 04:40:22.560617+00 | null | Smoke test OTel devolución | 350.00 | CUP | cash | a1111111-1111-1111-1111-111111111111 | 2026-08-06 04:40:22.560617+00 | null | null | null | null | dev-bf82b0c6-7704-4c1d-a967-6d25b8ccc46d
8bb4cfe5-2abf-4c4d-81fe-4ac33de732eb | NC-000003-2026 | TIENDA CENTRAL COSTPRO | completed | 2026-08-06 23:10:25.820118+00 | 2026-08-06 23:10:25.820118+00 | null | Hot test devolution 1786057783 | 350.00 | CUP | cash | a1111111-1111-1111-1111-111111111111 | 2026-08-06 23:10:25.820118+00 | null | null | null | null | dev-c4c325e8-8e66-48d9-bef8-ea787df6ece7
0778b5d5-bf72-4d9b-b9f7-e4192a29d33f | NC-000004-2026 | TIENDA CENTRAL COSTPRO | completed | 2026-08-06 23:12:11.580593+00 | 2026-08-06 23:12:11.580593+00 | null | Hot test devolution 1786057888 | 350.00 | CUP | cash | a1111111-1111-1111-1111-111111111111 | 2026-08-06 23:12:11.580593+00 | null | null | null | null | dev-d014158f-effc-4d27-af6b-c9d6920db253
a11e7aa5-863a-4e61-a041-04d33d1f66d2 | NC-000005-2026 | TIENDA CENTRAL COSTPRO | completed | 2026-08-06 23:22:10.228564+00 | 2026-08-06 23:22:10.228564+00 | null | Hot test devolution 1786058486 | 350.00 | CUP | cash | a1111111-1111-1111-1111-111111111111 | 2026-08-06 23:22:10.228564+00 | null | null | null | null | dev-33a0280b-d895-4cef-a50f-e278277a6a89
6c051892-b5ac-4fd6-be9b-546458119b96 | NC-000006-2026 | TIENDA CENTRAL COSTPRO | completed | 2026-08-06 23:27:29.313767+00 | 2026-08-06 23:27:29.313767+00 | null | Hot test no original 1786058841 | 350.00 | CUP | cash | a1111111-1111-1111-1111-111111111111 | 2026-08-06 23:27:29.313767+00 | null | null | null | null | dev-f54be6c5-37bc-4ad7-9f43-9d268a9a893f
0b7213e9-344a-4aa0-876d-316be9c6ff2e | NC-000007-2026 | TIENDA CENTRAL COSTPRO | reversed | 2026-08-06 23:27:41.661518+00 | 2026-08-06 23:27:41.661518+00 | null | Hot dev reverse 1786058841 | 350.00 | CUP | cash | a1111111-1111-1111-1111-111111111111 | 2026-08-06 23:27:41.661518+00 | 2026-08-06 23:27:43.117368+00 | Reverse dev 1786058841 | null | null | dev-29ff2fd9-8e4b-4146-858c-7fcdaa2e913b
42f89372-a76c-4e45-b2c7-a14252723f3e | NC-000008-2026 | TIENDA CENTRAL COSTPRO | completed | 2026-08-06 23:29:21.463226+00 | 2026-08-06 23:29:21.463226+00 | null | Hot dev qty test 1786058955 | 349650.00 | CUP | cash | a1111111-1111-1111-1111-111111111111 | 2026-08-06 23:29:21.463226+00 | null | null | null | null | dev-55b534c2-17a1-4a41-ab74-b809a8850863
def14222-1dc4-469d-9053-ddfbd28db7e8 | NC-000009-2026 | TIENDA CENTRAL COSTPRO | completed | 2026-08-06 23:42:58.886691+00 | 2026-08-06 23:42:58.886691+00 | null | Sequence dev 1786059736 | 350.00 | CUP | cash | a1111111-1111-1111-1111-111111111111 | 2026-08-06 23:42:58.886691+00 | null | null | null | null | dev-c2fceecb-babd-4c43-9997-b37465823d8f
