oid	schema	name	identity_args	return_type	prokind	provolatile	prosecdef	owner	proconfig	language	prosrc_md5	prosrc_len	proacl
137060	public	adjust_sale_payment	p_transaction_id uuid, p_user_id uuid, p_payment_method text, p_cash_amount numeric, p_transfer_amount numeric, p_zelle_amount numeric, p_sale_currency text, p_sale_exchange_rate numeric, p_items_price_adjustments jsonb, p_discount_type text, p_discount_value numeric, p_reason text	jsonb	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	affd0085875295d7b6c6980ce670670b	9391	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
142121	public	adjust_total_amount	p_transaction_id uuid, p_new_total numeric, p_reason text	boolean	FUNCTION	v	true	costpro_transaction_adjuster	search_path=public, pg_temp	plpgsql	f3da5a49245f72b1ea9004e562d8a9b4	2081	costpro_transaction_adjuster=X/costpro_transaction_adjuster,authenticated=X/costpro_transaction_adjuster
25497	public	alert_low_stock		trigger	FUNCTION	v	false	postgres	search_path=public, extensions	plpgsql	59590dbd9588489ed3f27aa8ff609517	548	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
25555	public	apply_fifo_on_sale		trigger	FUNCTION	v	false	postgres		plpgsql	afb8750d146beb69172d6a4d4f18280e	1286	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
136803	public	apply_physical_count	p_count_id uuid, p_user_id uuid, p_apply_zero_diffs boolean	jsonb	FUNCTION	v	true	postgres	search_path=public	plpgsql	1aa71acba3c5d5585a5955329412004a	2410	postgres=X/postgres,service_role=X/postgres
136851	public	approve_transfer	p_transfer_id uuid, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public	plpgsql	7d5a0ff56ec384f39820bfda14a5f376	2160	postgres=X/postgres,service_role=X/postgres
137780	public	audit_backup_restore_protected_change		trigger	FUNCTION	v	true	postgres	search_path=public	plpgsql	d69b78e7e7315fd7fdb9238f2d920480	563	postgres=X/postgres,service_role=X/postgres
138218	public	audit_cash_closures_changes		trigger	FUNCTION	v	true	postgres	search_path=pg_catalog, public	plpgsql	2da87471545b96ee0c6953f97121e4f2	1099	postgres=X/postgres,service_role=X/postgres
138220	public	audit_commission_payments_changes		trigger	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	c44c9d9e6c8a47c41b05585005abbf2f	1205	postgres=X/postgres,service_role=X/postgres
138222	public	audit_fiscal_closings_changes		trigger	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	6af38fa39f3287c6c03443299670ae85	722	postgres=X/postgres,service_role=X/postgres
138224	public	audit_payment_transactions_changes		trigger	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	ab1363a107332e5773d7816971e34cfe	716	postgres=X/postgres,service_role=X/postgres
52507	public	audit_product_changes		trigger	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	04a72348b8edc064e22c9a33bd660841	822	postgres=X/postgres,service_role=X/postgres
38096	public	audit_profile_changes		trigger	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	c1685f4ecc1c40d71d3c6b770685e4eb	2524	postgres=X/postgres,service_role=X/postgres
70045	public	audit_role_changes		trigger	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	1d36a393576134c58478dedbd913f115	625	postgres=X/postgres,service_role=X/postgres
38098	public	audit_store_access_changes		trigger	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	a40a477e360307dac3ebda78b0c65be6	727	postgres=X/postgres,service_role=X/postgres
52509	public	audit_store_changes		trigger	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	d390ed6f87b8ee095a31303c1913d329	1565	postgres=X/postgres,service_role=X/postgres
38671	public	auto_assign_store_to_creator		trigger	FUNCTION	v	false	postgres	search_path=public, extensions	plpgsql	198101ae5f852c771f974ff082a50791	961	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
136257	public	auto_kardex_on_stock_movement		trigger	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	8ad3664feff065a177c7753ca856d2fe	1917	postgres=X/postgres,service_role=X/postgres
136514	public	auto_match_bank_items	p_statement_id uuid, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public	plpgsql	096b0be8cf469ea5818f5da54644997e	2778	postgres=X/postgres,service_role=X/postgres
138112	public	bulk_assign_memberships	p_user_id uuid, p_assignments jsonb	jsonb	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	f373c5cf4120470dd6a6d4b0f9257599	1894	postgres=X/postgres,service_role=X/postgres
137814	public	bulk_soft_delete_stores	p_store_ids uuid[], p_deleted_by uuid, p_confirmation_token text, p_override_token text, p_reason text	jsonb	FUNCTION	v	true	postgres	search_path=public	plpgsql	3d1053f1d3775b04c375b8032cded3b2	4732	postgres=X/postgres,service_role=X/postgres
142629	public	bulk_update_products	_products jsonb	TABLE(updated_count integer, inserted_count integer, error_message text)	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	85e578c6b5a3083ba18a36e8aee290e2	3072	postgres=X/postgres,service_role=X/postgres
136484	public	calculate_abc	p_store_id uuid, p_year integer, p_month integer, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public	plpgsql	4f5654194fb7f085bc92963d983f1bf5	2255	postgres=X/postgres,service_role=X/postgres
134247	public	calculate_commission_amount_cup		trigger	FUNCTION	v	false	postgres		plpgsql	cf77e1051ef40b485c37f3f33fe6e3be	295	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
138783	public	calculate_receipt_total_cup	p_receipt_id uuid	numeric	FUNCTION	s	true	postgres	search_path=public, pg_temp	plpgsql	e30cc8ff2c811e3f467d3aa2ab73f6a8	1200	postgres=X/postgres,service_role=X/postgres
132722	public	calculate_service_distribution	p_service_id uuid	TABLE(receipt_item_id uuid, product_id uuid, distribution_amount numeric, distribution_percentage numeric)	FUNCTION	v	true	postgres	search_path=pg_catalog, public, pg_temp	plpgsql	41c3919ac8a3cbc1a0077b24a4eda726	2120	postgres=X/postgres,service_role=X/postgres
143447	public	can_admin_reverse_transaction	p_actor uuid, p_store_id uuid	boolean	FUNCTION	v	true	postgres	search_path=pg_catalog, public	plpgsql	3f014de617e207ea2dd014a1b3189808	538	postgres=X/postgres,service_role=X/postgres
70047	public	can_create_user_with_role	p_creator_id uuid, p_role_name text	boolean	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	9632d8efbc911c8bb08839ba121ae99d	566	postgres=X/postgres,service_role=X/postgres
143448	public	can_pos_undo_transaction	p_transaction_id uuid, p_actor uuid	boolean	FUNCTION	v	true	postgres	search_path=pg_catalog, public	plpgsql	859634c4874bedd76b825bbf2f9d0034	941	postgres=X/postgres,service_role=X/postgres
143547	public	can_reverse_document	p_actor uuid, p_store_id uuid, p_operation text	boolean	FUNCTION	v	true	postgres	search_path=pg_catalog, public	plpgsql	fcd2b380b756592acd3ba76a124b9025	1141	postgres=X/postgres,service_role=X/postgres
79082	public	can_safely_delete_user	p_user_id uuid	boolean	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	2514a7026150e2cf0612e7c9f35fc82f	1153	postgres=X/postgres,service_role=X/postgres
28123	public	can_void_receipt	p_receipt_id uuid	boolean	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	ed8b6186cb3462886050528e85301c2d	328	postgres=X/postgres,service_role=X/postgres
34760	public	cancel_reception	p_reception_id uuid	void	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	529d9515419f4d6f61b129639a952dee	1753	postgres=X/postgres,service_role=X/postgres
130873	public	cancel_transfer	p_transfer_id uuid, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public	plpgsql	2a5a9ce7940f3981fc3310467586441a	955	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
137483	public	cancel_transfer	p_transfer_id uuid, p_reason text, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	381d4db2d513e4608ba3eaa79564014a	1474	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
134479	public	cash_dist	money, money	money	FUNCTION	i	false	supabase_admin		c	1acd79b2b4b9df652d58d90e72f05a29	9	=X/supabase_admin,supabase_admin=X/supabase_admin,postgres=X/supabase_admin,anon=X/supabase_admin,authenticated=X/supabase_admin,service_role=X/supabase_admin
25491	public	check_active_user		trigger	FUNCTION	v	false	postgres	search_path=public, extensions	plpgsql	b33d09a72a2cf7caf7cb9e4f834661dc	261	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
137816	public	check_bulk_ops_hourly_limit	p_user_id uuid, p_plan text	jsonb	FUNCTION	s	true	postgres	search_path=public	plpgsql	41c789cb3cc30cbbc14153ebac3c2876	473	postgres=X/postgres,service_role=X/postgres
25493	public	check_cash_session_open		trigger	FUNCTION	v	false	postgres	search_path=public, extensions	plpgsql	7d14a9bd42aaa03ee13ad7abf787635a	141	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
138689	public	check_idempotency	p_key text, p_operation text, p_record_id uuid, p_param_hash text	jsonb	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	1dd2aac68168112d0ace24b22e3ee932	1253	postgres=X/postgres,service_role=X/postgres
63381	public	check_reception_cost_variation		trigger	FUNCTION	v	false	postgres	search_path=public, extensions	plpgsql	59768491ba5c1855c09d8024e71fd31a	525	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
