oid	schema	table	tgname	enabled	function_name	function_args	definition
138341	public	audit_logs	trg_set_audit_log_trace_id	enabled	set_audit_log_trace_id		CREATE TRIGGER trg_set_audit_log_trace_id BEFORE INSERT ON public.audit_logs FOR EACH ROW EXECUTE FUNCTION set_audit_log_trace_id()
47059	public	audit_logs	update_audit_logs_updated_at	enabled	update_updated_at_column		CREATE TRIGGER update_audit_logs_updated_at BEFORE UPDATE ON public.audit_logs FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
138202	public	cash_closures	prevent_cash_closure_edit	enabled	prevent_cash_closure_edit		CREATE TRIGGER prevent_cash_closure_edit BEFORE DELETE OR UPDATE ON public.cash_closures FOR EACH ROW EXECUTE FUNCTION prevent_cash_closure_edit()
138219	public	cash_closures	trg_audit_cash_closures	enabled	audit_cash_closures_changes		CREATE TRIGGER trg_audit_cash_closures AFTER INSERT OR DELETE OR UPDATE ON public.cash_closures FOR EACH ROW EXECUTE FUNCTION audit_cash_closures_changes()
25494	public	cash_register_sessions	trg_check_cash_session_closed	enabled	check_cash_session_open		CREATE TRIGGER trg_check_cash_session_closed BEFORE UPDATE ON public.cash_register_sessions FOR EACH ROW EXECUTE FUNCTION check_cash_session_open()
133148	public	commission_payments	commission_payments_touch_updated_at	enabled	touch_updated_at		CREATE TRIGGER commission_payments_touch_updated_at BEFORE UPDATE ON public.commission_payments FOR EACH ROW EXECUTE FUNCTION touch_updated_at()
138221	public	commission_payments	trg_audit_commission_payments	enabled	audit_commission_payments_changes		CREATE TRIGGER trg_audit_commission_payments AFTER INSERT OR DELETE OR UPDATE ON public.commission_payments FOR EACH ROW EXECUTE FUNCTION audit_commission_payments_changes()
134248	public	commission_payments	trg_calc_commission_cup	enabled	calculate_commission_amount_cup		CREATE TRIGGER trg_calc_commission_cup BEFORE INSERT OR UPDATE ON public.commission_payments FOR EACH ROW EXECUTE FUNCTION calculate_commission_amount_cup()
134420	public	commission_payments	trg_set_default_due_date_commission	enabled	set_default_due_date_commission		CREATE TRIGGER trg_set_default_due_date_commission BEFORE INSERT OR UPDATE OF period_end ON public.commission_payments FOR EACH ROW EXECUTE FUNCTION set_default_due_date_commission()
135204	public	commission_rule_products	commission_rule_products_touch_updated_at	enabled	touch_updated_at		CREATE TRIGGER commission_rule_products_touch_updated_at BEFORE UPDATE ON public.commission_rule_products FOR EACH ROW EXECUTE FUNCTION touch_updated_at()
133150	public	commission_rules	commission_rules_snapshot	enabled	snapshot_commission_rule		CREATE TRIGGER commission_rules_snapshot AFTER INSERT OR UPDATE ON public.commission_rules FOR EACH ROW EXECUTE FUNCTION snapshot_commission_rule()
