# REM-INV-4 LIVE grants — captured 2026-09-13T05:44:14.707Z
# [TABLES] grantee	schema	table	privilege  (rows=4133)
anon	public	abc_classifications	DELETE
anon	public	abc_classifications	INSERT
anon	public	abc_classifications	REFERENCES
anon	public	abc_classifications	SELECT
anon	public	abc_classifications	TRIGGER
anon	public	abc_classifications	TRUNCATE
anon	public	abc_classifications	UPDATE
authenticated	public	abc_classifications	DELETE
authenticated	public	abc_classifications	INSERT
authenticated	public	abc_classifications	REFERENCES
authenticated	public	abc_classifications	SELECT
authenticated	public	abc_classifications	TRIGGER
authenticated	public	abc_classifications	TRUNCATE
authenticated	public	abc_classifications	UPDATE
postgres	public	abc_classifications	DELETE
postgres	public	abc_classifications	INSERT
postgres	public	abc_classifications	REFERENCES
postgres	public	abc_classifications	SELECT
postgres	public	abc_classifications	TRIGGER
postgres	public	abc_classifications	TRUNCATE
postgres	public	abc_classifications	UPDATE
service_role	public	abc_classifications	DELETE
service_role	public	abc_classifications	INSERT
service_role	public	abc_classifications	REFERENCES
service_role	public	abc_classifications	SELECT
service_role	public	abc_classifications	TRIGGER
service_role	public	abc_classifications	TRUNCATE
service_role	public	abc_classifications	UPDATE
anon	public	ai_api_keys	DELETE
anon	public	ai_api_keys	INSERT
anon	public	ai_api_keys	REFERENCES
anon	public	ai_api_keys	SELECT
anon	public	ai_api_keys	TRIGGER
anon	public	ai_api_keys	TRUNCATE
anon	public	ai_api_keys	UPDATE
authenticated	public	ai_api_keys	DELETE
authenticated	public	ai_api_keys	INSERT
authenticated	public	ai_api_keys	REFERENCES
authenticated	public	ai_api_keys	SELECT
authenticated	public	ai_api_keys	TRIGGER
authenticated	public	ai_api_keys	TRUNCATE
authenticated	public	ai_api_keys	UPDATE
postgres	public	ai_api_keys	DELETE
postgres	public	ai_api_keys	INSERT
postgres	public	ai_api_keys	REFERENCES
postgres	public	ai_api_keys	SELECT
postgres	public	ai_api_keys	TRIGGER
postgres	public	ai_api_keys	TRUNCATE
postgres	public	ai_api_keys	UPDATE
service_role	public	ai_api_keys	DELETE
service_role	public	ai_api_keys	INSERT
service_role	public	ai_api_keys	REFERENCES
service_role	public	ai_api_keys	SELECT
service_role	public	ai_api_keys	TRIGGER
service_role	public	ai_api_keys	TRUNCATE
service_role	public	ai_api_keys	UPDATE
anon	public	audit_events	DELETE
anon	public	audit_events	INSERT
anon	public	audit_events	REFERENCES
anon	public	audit_events	SELECT
anon	public	audit_events	TRIGGER
anon	public	audit_events	TRUNCATE
anon	public	audit_events	UPDATE
authenticated	public	audit_events	DELETE
authenticated	public	audit_events	INSERT
authenticated	public	audit_events	REFERENCES
authenticated	public	audit_events	SELECT
authenticated	public	audit_events	TRIGGER
authenticated	public	audit_events	TRUNCATE
authenticated	public	audit_events	UPDATE
postgres	public	audit_events	DELETE
postgres	public	audit_events	INSERT
postgres	public	audit_events	REFERENCES
postgres	public	audit_events	SELECT
postgres	public	audit_events	TRIGGER
postgres	public	audit_events	TRUNCATE
postgres	public	audit_events	UPDATE
service_role	public	audit_events	DELETE
service_role	public	audit_events	INSERT
service_role	public	audit_events	REFERENCES
service_role	public	audit_events	SELECT
service_role	public	audit_events	TRIGGER
service_role	public	audit_events	TRUNCATE
service_role	public	audit_events	UPDATE
anon	public	audit_logs	DELETE
anon	public	audit_logs	INSERT
anon	public	audit_logs	REFERENCES
anon	public	audit_logs	SELECT
anon	public	audit_logs	TRIGGER
anon	public	audit_logs	TRUNCATE
anon	public	audit_logs	UPDATE
authenticated	public	audit_logs	DELETE
authenticated	public	audit_logs	INSERT
authenticated	public	audit_logs	REFERENCES
authenticated	public	audit_logs	SELECT
authenticated	public	audit_logs	TRIGGER
authenticated	public	audit_logs	TRUNCATE
authenticated	public	audit_logs	UPDATE
costpro_snapshot_restorer	public	audit_logs	INSERT
costpro_transaction_adjuster	public	audit_logs	INSERT
postgres	public	audit_logs	DELETE
postgres	public	audit_logs	INSERT
postgres	public	audit_logs	REFERENCES
postgres	public	audit_logs	SELECT
postgres	public	audit_logs	TRIGGER
postgres	public	audit_logs	TRUNCATE
postgres	public	audit_logs	UPDATE
service_role	public	audit_logs	DELETE
service_role	public	audit_logs	INSERT
service_role	public	audit_logs	REFERENCES
service_role	public	audit_logs	SELECT
service_role	public	audit_logs	TRIGGER
service_role	public	audit_logs	TRUNCATE
service_role	public	audit_logs	UPDATE
anon	public	backup_table_registry	DELETE
anon	public	backup_table_registry	INSERT
anon	public	backup_table_registry	REFERENCES
anon	public	backup_table_registry	SELECT
anon	public	backup_table_registry	TRIGGER
anon	public	backup_table_registry	TRUNCATE
anon	public	backup_table_registry	UPDATE
authenticated	public	backup_table_registry	DELETE
authenticated	public	backup_table_registry	INSERT
authenticated	public	backup_table_registry	REFERENCES
authenticated	public	backup_table_registry	SELECT
authenticated	public	backup_table_registry	TRIGGER
authenticated	public	backup_table_registry	TRUNCATE
authenticated	public	backup_table_registry	UPDATE
postgres	public	backup_table_registry	DELETE
postgres	public	backup_table_registry	INSERT
postgres	public	backup_table_registry	REFERENCES
postgres	public	backup_table_registry	SELECT
postgres	public	backup_table_registry	TRIGGER
postgres	public	backup_table_registry	TRUNCATE
postgres	public	backup_table_registry	UPDATE
service_role	public	backup_table_registry	DELETE
service_role	public	backup_table_registry	INSERT
service_role	public	backup_table_registry	REFERENCES
service_role	public	backup_table_registry	SELECT
