schema	table	policy	permissive	roles	command	qual	with_check
public	abc_classifications	abc_delete	PERMISSIVE	authenticated	DELETE	has_store_access(store_id)	
public	abc_classifications	abc_insert	PERMISSIVE	authenticated	INSERT		has_store_access(store_id)
public	abc_classifications	abc_select	PERMISSIVE	authenticated	SELECT	has_store_access(store_id)	
public	ai_api_keys	Users can manage their own AI keys	PERMISSIVE	public	ALL	(auth.uid() = user_id)	
public	audit_events	Deny direct writes to audit_events	PERMISSIVE	public	INSERT		false
public	audit_events	Deny modifications to audit_events	PERMISSIVE	public	ALL	true	false
public	audit_events	audit_events_tenant_select	PERMISSIVE	authenticated	SELECT	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN (tenant_id = current_user_tenant_id())\n    ELSE false\nEND	
public	audit_logs	Audit logs select	PERMISSIVE	authenticated	SELECT	(( SELECT profiles.role\n   FROM profiles\n  WHERE (profiles.id = ( SELECT auth.uid() AS uid))) = 'admin'::user_role)	
public	audit_logs	audit_logs_insert_authenticated	PERMISSIVE	authenticated	INSERT		(user_id = auth.uid())
public	audit_logs	audit_logs_select_own_and_managed	PERMISSIVE	authenticated	SELECT	(is_global_admin() OR ((store_id IS NOT NULL) AND has_store_role(store_id, ARRAY['admin'::text, 'manager'::text, 'encargado'::text])))	
public	backup_table_registry	registry_read_authenticated	PERMISSIVE	authenticated	SELECT	true	
public	backup_table_registry	registry_write_admin_only	PERMISSIVE	authenticated	ALL	(EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))	(EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))
public	bank_statement_items	bsi_insert	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM bank_statements bs\n  WHERE ((bs.id = bank_statement_items.bank_statement_id) AND has_store_access(bs.store_id))))
public	bank_statement_items	bsi_select	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM bank_statements bs\n  WHERE ((bs.id = bank_statement_items.bank_statement_id) AND has_store_access(bs.store_id))))	
public	bank_statement_items	bsi_update	PERMISSIVE	authenticated	UPDATE	(EXISTS ( SELECT 1\n   FROM bank_statements bs\n  WHERE ((bs.id = bank_statement_items.bank_statement_id) AND has_store_access(bs.store_id))))	
public	bank_statements	bs_delete	PERMISSIVE	authenticated	DELETE	has_store_access(store_id)	
public	bank_statements	bs_insert	PERMISSIVE	authenticated	INSERT		has_store_access(store_id)
public	bank_statements	bs_select	PERMISSIVE	authenticated	SELECT	has_store_access(store_id)	
public	bank_statements	bs_update	PERMISSIVE	authenticated	UPDATE	has_store_access(store_id)	
public	bulk_confirmation_tokens	bulk_tokens_owner_read	PERMISSIVE	authenticated	SELECT	((created_by = auth.uid()) OR (created_by IS NULL))	
public	bulk_ops_log	bulk_ops_log_owner	PERMISSIVE	authenticated	ALL	(user_id = auth.uid())	
public	bulk_ops_log	bulk_ops_log_tenant_select	PERMISSIVE	authenticated	SELECT	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN (tenant_id = current_user_tenant_id())\n    ELSE is_admin()\nEND	
public	business_events	System can insert events	PERMISSIVE	authenticated	INSERT		false
public	cash_closures	Cash closures unified	PERMISSIVE	authenticated	ALL	has_store_access(store_id)	
public	cash_closures	cash_closures_delete_rls	PERMISSIVE	authenticated	DELETE	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = cash_closures.store_id))))	
public	cash_closures	cash_closures_insert_rls	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = cash_closures.store_id))))
public	cash_closures	cash_closures_select_rls	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = cash_closures.store_id))))	
public	cash_closures	cash_closures_tenant_insert_with_check	PERMISSIVE	authenticated	INSERT		(store_id = ANY (current_user_store_ids()))
public	cash_closures	cash_closures_update_rls	PERMISSIVE	authenticated	UPDATE	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = cash_closures.store_id))))	
public	cash_movements	Cash movements access	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM cash_register_sessions s\n  WHERE ((s.id = cash_movements.session_id) AND has_store_access(s.store_id))))	
public	cash_movements	Cash movements insert	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM cash_register_sessions s\n  WHERE ((s.id = cash_movements.session_id) AND has_store_access(s.store_id))))
public	cash_movements	cash_movements_insert	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = cash_movements.store_id))))
public	cash_movements	cash_movements_select	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = cash_movements.store_id))))	
public	cash_register_sessions	Cash sessions unified	PERMISSIVE	authenticated	ALL	has_store_access(store_id)	
public	cash_sessions	cash_sessions_insert	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = cash_sessions.store_id))))
public	cash_sessions	cash_sessions_select	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = cash_sessions.store_id))))	
public	cash_sessions	cash_sessions_update	PERMISSIVE	authenticated	UPDATE	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = cash_sessions.store_id))))	
public	categories	Categories unified	PERMISSIVE	authenticated	ALL	\nCASE\n    WHEN (( SELECT get_my_role() AS get_my_role) = ANY (ARRAY['admin'::text, 'manager'::text, 'warehouse'::text])) THEN true\n    ELSE false\nEND	\nCASE\n    WHEN (( SELECT get_my_role() AS get_my_role) = ANY (ARRAY['admin'::text, 'manager'::text, 'warehouse'::text])) THEN true\n    ELSE false\nEND
public	categories	categories_store_access	PERMISSIVE	authenticated	ALL	((store_id IS NULL) OR has_store_access(store_id))	
public	commission_payments	commission_payments_delete	PERMISSIVE	authenticated	DELETE	(EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))	
public	commission_payments	commission_payments_insert	PERMISSIVE	authenticated	INSERT		((EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role)))) OR (EXISTS ( SELECT 1\n   FROM (user_store_memberships m\n     JOIN profiles p ON ((p.id = m.user_id)))\n  WHERE ((m.user_id = auth.uid()) AND (m.store_id = commission_payments.store_id) AND (m.status = 'active'::membership_status) AND (p.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role]))))))
public	commission_payments	commission_payments_select	PERMISSIVE	authenticated	SELECT	((EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role)))) OR (EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.store_id = commission_payments.store_id) AND (m.status = 'active'::membership_status)))))	
public	commission_payments	commission_payments_service_role_all	PERMISSIVE	service_role	ALL	true	true
public	commission_payments	commission_payments_tenant_select	PERMISSIVE	authenticated	SELECT	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids()))))\n    ELSE (is_admin() OR (store_id = ANY (current_user_store_ids())))\nEND	
public	commission_payments	commission_payments_update	PERMISSIVE	authenticated	UPDATE	((EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role)))) OR (EXISTS ( SELECT 1\n   FROM (user_store_memberships m\n     JOIN profiles p ON ((p.id = m.user_id)))\n  WHERE ((m.user_id = auth.uid()) AND (m.store_id = commission_payments.store_id) AND (m.status = 'active'::membership_status) AND (p.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role]))))))	
public	commission_reception_links	commission_reception_links_delete_admin	PERMISSIVE	authenticated	DELETE	(is_global_admin() OR (EXISTS ( SELECT 1\n   FROM receipts r\n  WHERE ((r.id = commission_reception_links.receipt_id) AND has_store_role(r.store_id, ARRAY['admin'::text, 'manager'::text])))))	
public	commission_reception_links	commission_reception_links_insert_admin	PERMISSIVE	authenticated	INSERT		(is_global_admin() OR (EXISTS ( SELECT 1\n   FROM receipts r\n  WHERE ((r.id = commission_reception_links.receipt_id) AND has_store_role(r.store_id, ARRAY['admin'::text, 'manager'::text])))))
public	commission_reception_links	commission_reception_links_select_authenticated	PERMISSIVE	authenticated	SELECT	(is_global_admin() OR (EXISTS ( SELECT 1\n   FROM receipts r\n  WHERE ((r.id = commission_reception_links.receipt_id) AND is_store_member(r.store_id)))))	
public	commission_rule_products	commission_rule_products_delete	PERMISSIVE	authenticated	DELETE	(EXISTS ( SELECT 1\n   FROM ((commission_rules r\n     JOIN user_store_memberships m ON ((m.store_id = r.store_id)))\n     JOIN profiles p ON ((p.id = m.user_id)))\n  WHERE ((r.id = commission_rule_products.rule_id) AND (m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (p.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role])))))	
public	commission_rule_products	commission_rule_products_insert	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM ((commission_rules r\n     JOIN user_store_memberships m ON ((m.store_id = r.store_id)))\n     JOIN profiles p ON ((p.id = m.user_id)))\n  WHERE ((r.id = commission_rule_products.rule_id) AND (m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (p.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role])))))
public	commission_rule_products	commission_rule_products_select	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM (commission_rules r\n     JOIN user_store_memberships m ON ((m.store_id = r.store_id)))\n  WHERE ((r.id = commission_rule_products.rule_id) AND (m.user_id = auth.uid()) AND (m.status = 'active'::membership_status))))	
public	commission_rule_products	commission_rule_products_service_role_all	PERMISSIVE	service_role	ALL	true	true
public	commission_rule_products	commission_rule_products_update	PERMISSIVE	authenticated	UPDATE	(EXISTS ( SELECT 1\n   FROM ((commission_rules r\n     JOIN user_store_memberships m ON ((m.store_id = r.store_id)))\n     JOIN profiles p ON ((p.id = m.user_id)))\n  WHERE ((r.id = commission_rule_products.rule_id) AND (m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (p.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role])))))	(EXISTS ( SELECT 1\n   FROM ((commission_rules r\n     JOIN user_store_memberships m ON ((m.store_id = r.store_id)))\n     JOIN profiles p ON ((p.id = m.user_id)))\n  WHERE ((r.id = commission_rule_products.rule_id) AND (m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (p.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role])))))
public	commission_rule_versions	commission_rule_versions_select	PERMISSIVE	authenticated	SELECT	((EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role)))) OR (EXISTS ( SELECT 1\n   FROM (commission_rules r\n     JOIN user_store_memberships m ON ((m.store_id = r.store_id)))\n  WHERE ((r.id = commission_rule_versions.rule_id) AND (m.user_id = auth.uid()) AND (m.status = 'active'::membership_status)))))	
public	commission_rule_versions	commission_rule_versions_service_role_all	PERMISSIVE	service_role	ALL	true	true
public	commission_rules	commission_rules_delete	PERMISSIVE	authenticated	DELETE	(EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role))))	
public	commission_rules	commission_rules_insert	PERMISSIVE	authenticated	INSERT		((EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role)))) OR (EXISTS ( SELECT 1\n   FROM (user_store_memberships m\n     JOIN profiles p ON ((p.id = m.user_id)))\n  WHERE ((m.user_id = auth.uid()) AND (m.store_id = commission_rules.store_id) AND (m.status = 'active'::membership_status) AND (p.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role]))))))
public	commission_rules	commission_rules_select	PERMISSIVE	authenticated	SELECT	((EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role)))) OR (EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.store_id = commission_rules.store_id) AND (m.status = 'active'::membership_status)))))	
public	commission_rules	commission_rules_service_role_all	PERMISSIVE	service_role	ALL	true	true
public	commission_rules	commission_rules_tenant_select	PERMISSIVE	authenticated	SELECT	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids()))))\n    ELSE (is_admin() OR (store_id = ANY (current_user_store_ids())))\nEND	
public	commission_rules	commission_rules_update	PERMISSIVE	authenticated	UPDATE	((EXISTS ( SELECT 1\n   FROM profiles p\n  WHERE ((p.id = auth.uid()) AND (p.role = 'admin'::user_role)))) OR (EXISTS ( SELECT 1\n   FROM (user_store_memberships m\n     JOIN profiles p ON ((p.id = m.user_id)))\n  WHERE ((m.user_id = auth.uid()) AND (m.store_id = commission_rules.store_id) AND (m.status = 'active'::membership_status) AND (p.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role]))))))	
public	cost_sheet_templates	Templates delete	PERMISSIVE	authenticated	DELETE	is_admin()	
public	cost_sheet_templates	Templates insert	PERMISSIVE	authenticated	INSERT		is_admin()
public	cost_sheet_templates	Templates update	PERMISSIVE	authenticated	UPDATE	is_admin()	is_admin()
public	cost_sheet_templates	Templates visibility	PERMISSIVE	public	SELECT	((type = 'system'::text) OR is_admin() OR ((type = 'public'::text) AND ((store_id IS NULL) OR has_store_access(store_id))) OR ((type = 'private'::text) AND (created_by = auth.uid())))	
public	cost_sheets	cost_sheets_owner_manage	PERMISSIVE	authenticated	ALL	(auth.uid() = created_by)	(auth.uid() = created_by)
public	cost_sheets	cost_sheets_selective_read	PERMISSIVE	authenticated	SELECT	(is_admin() OR (created_by = auth.uid()) OR (EXISTS ( SELECT 1\n   FROM (profiles p_me\n     JOIN profiles p_creator ON ((p_me.tenant_id = p_creator.tenant_id)))\n  WHERE ((p_me.id = auth.uid()) AND (p_creator.id = cost_sheets.created_by) AND (p_me.tenant_id IS NOT NULL)))))	
public	customers	customers_delete_own_store	PERMISSIVE	authenticated	DELETE	has_store_access(store_id)	
public	customers	customers_insert_own_store	PERMISSIVE	authenticated	INSERT		has_store_access(store_id)
public	customers	customers_select_own_store	PERMISSIVE	authenticated	SELECT	has_store_access(store_id)	
public	customers	customers_update_own_store	PERMISSIVE	authenticated	UPDATE	has_store_access(store_id)	has_store_access(store_id)
public	devolution_items	devolution_items_insert	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM devolutions d\n  WHERE ((d.id = devolution_items.devolution_id) AND has_store_access(d.store_id))))
public	devolution_items	devolution_items_select	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM devolutions d\n  WHERE ((d.id = devolution_items.devolution_id) AND has_store_access(d.store_id))))	
public	devolutions	devolutions_insert_own_store	PERMISSIVE	authenticated	INSERT		has_store_access(store_id)
public	devolutions	devolutions_select_own_store	PERMISSIVE	authenticated	SELECT	has_store_access(store_id)	
public	devolutions	devolutions_tenant_insert_with_check	PERMISSIVE	authenticated	INSERT		(store_id = ANY (current_user_store_ids()))
public	devolutions	devolutions_update_own_store	PERMISSIVE	authenticated	UPDATE	has_store_access(store_id)	has_store_access(store_id)
public	document_sequences	document_sequences_select_admin	PERMISSIVE	authenticated	SELECT	(is_admin() OR has_store_access(store_id))	
public	exchange_rates	exchange_rates_insert	PERMISSIVE	service_role	INSERT		true
public	exchange_rates	exchange_rates_read	PERMISSIVE	authenticated	SELECT	true	
public	exchange_rates	exchange_rates_update	PERMISSIVE	service_role	UPDATE	true	
public	fiscal_closings	fiscal_closings_insert	PERMISSIVE	authenticated	INSERT		has_store_access(store_id)
public	fiscal_closings	fiscal_closings_select	PERMISSIVE	authenticated	SELECT	has_store_access(store_id)	
public	fiscal_closings	fiscal_closings_update	PERMISSIVE	authenticated	UPDATE	has_store_access(store_id)	has_store_access(store_id)
public	idempotency_registry	idem_reg_service_role_all	PERMISSIVE	authenticated	ALL	true	true
public	inventory	inventory_deny_delete	PERMISSIVE	authenticated	DELETE	false	
public	inventory	inventory_deny_insert	PERMISSIVE	authenticated	INSERT		false
public	inventory	inventory_deny_update	PERMISSIVE	authenticated	UPDATE	false	
public	inventory	inventory_insert_auth	PERMISSIVE	authenticated	INSERT		((store_id IN ( SELECT profiles.active_store_id\n   FROM profiles\n  WHERE (profiles.id = auth.uid()))) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))
public	inventory	inventory_tenant_select	PERMISSIVE	authenticated	SELECT	\nCASE\n    WHEN (current_setting('app.use_tenant_rls'::text, true) = 'true'::text) THEN ((tenant_id = current_user_tenant_id()) AND (is_admin() OR (store_id = ANY (current_user_store_ids()))))\n    ELSE (is_admin() OR has_store_access(store_id))\nEND	
public	inventory_adjustment_items	Allow related access for items	PERMISSIVE	public	ALL	(adjustment_id IN ( SELECT inventory_adjustments.id\n   FROM inventory_adjustments))	
public	inventory_adjustments	Allow all access to own store data	PERMISSIVE	public	ALL	(store_id IN ( SELECT get_current_user_store_id() AS get_current_user_store_id))	(store_id IN ( SELECT get_current_user_store_id() AS get_current_user_store_id))
public	inventory_adjustments	inventory_adjustments_delete_rls	PERMISSIVE	authenticated	DELETE	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = inventory_adjustments.store_id))))	
public	inventory_adjustments	inventory_adjustments_insert_rls	PERMISSIVE	authenticated	INSERT		(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = inventory_adjustments.store_id))))
public	inventory_adjustments	inventory_adjustments_select_rls	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = inventory_adjustments.store_id))))	
public	inventory_adjustments	inventory_adjustments_tenant_insert_with_check	PERMISSIVE	authenticated	INSERT		(store_id = ANY (current_user_store_ids()))
public	inventory_adjustments	inventory_adjustments_update_rls	PERMISSIVE	authenticated	UPDATE	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = inventory_adjustments.store_id))))	
public	inventory_batches	Inventory batches access	PERMISSIVE	authenticated	SELECT	has_store_access(store_id)	
public	inventory_movements	inventory_movements_selective_read	PERMISSIVE	authenticated	SELECT	(is_admin() OR (user_id = auth.uid()) OR (EXISTS ( SELECT 1\n   FROM products p\n  WHERE ((p.id = inventory_movements.product_id) AND has_store_access(p.store_id)))))	
public	inventory_reservations	inv_res_access	PERMISSIVE	authenticated	ALL	has_store_access(store_id)	has_store_access(store_id)
public	inventory_snapshots	Inventory snapshots access	PERMISSIVE	authenticated	SELECT	has_store_access(store_id)	
public	issue_slip_items	issue_slip_items_store_isolation	PERMISSIVE	authenticated	ALL	(slip_id IN ( SELECT issue_slips.id\n   FROM issue_slips\n  WHERE (issue_slips.store_id = ANY (current_user_store_ids()))))	(slip_id IN ( SELECT issue_slips.id\n   FROM issue_slips\n  WHERE (issue_slips.store_id = ANY (current_user_store_ids()))))
public	issue_slips	issue_slips_store_isolation	PERMISSIVE	authenticated	ALL	(store_id = ANY (current_user_store_ids()))	(store_id = ANY (current_user_store_ids()))
public	kardex_entries	kardex_entries_tenant_insert_with_check	PERMISSIVE	authenticated	INSERT		(store_id = ANY (current_user_store_ids()))
public	kardex_entries	kardex_insert_own_store	PERMISSIVE	authenticated	INSERT		has_store_access(store_id)
public	kardex_entries	kardex_select_own_store	PERMISSIVE	authenticated	SELECT	has_store_access(store_id)	
public	learning_cards	learning_cards_delete	PERMISSIVE	authenticated	DELETE	is_admin()	
public	learning_cards	learning_cards_insert	PERMISSIVE	authenticated	INSERT		is_admin()
public	learning_cards	learning_cards_select_authenticated	PERMISSIVE	authenticated	SELECT	true	
public	learning_cards	learning_cards_update	PERMISSIVE	authenticated	UPDATE	is_admin()	
public	legal_models	Allow read access to all authenticated users for models	PERMISSIVE	public	SELECT	(auth.role() = 'authenticated'::text)	
public	legal_resolutions	Allow read access to all authenticated users for resolutions	PERMISSIVE	public	SELECT	(auth.role() = 'authenticated'::text)	
public	ofertas	Admin/manager can delete ofertas	PERMISSIVE	public	DELETE	((EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))) OR (store_id IN ( SELECT user_store_memberships.store_id\n   FROM user_store_memberships\n  WHERE ((user_store_memberships.user_id = auth.uid()) AND (user_store_memberships.status = 'active'::membership_status) AND (user_store_memberships.role = 'manager'::user_role)))))	
public	ofertas	Admin/manager/encargado can insert ofertas	PERMISSIVE	public	INSERT		((store_id IN ( SELECT user_store_memberships.store_id\n   FROM user_store_memberships\n  WHERE ((user_store_memberships.user_id = auth.uid()) AND (user_store_memberships.status = 'active'::membership_status) AND (user_store_memberships.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role, 'encargado'::user_role]))))) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))
public	ofertas	Admin/manager/encargado can update ofertas	PERMISSIVE	public	UPDATE	((store_id IN ( SELECT user_store_memberships.store_id\n   FROM user_store_memberships\n  WHERE ((user_store_memberships.user_id = auth.uid()) AND (user_store_memberships.status = 'active'::membership_status) AND (user_store_memberships.role = ANY (ARRAY['admin'::user_role, 'manager'::user_role, 'encargado'::user_role]))))) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))	
public	ofertas	Users can view ofertas from their stores	PERMISSIVE	public	SELECT	((store_id IN ( SELECT user_store_memberships.store_id\n   FROM user_store_memberships\n  WHERE ((user_store_memberships.user_id = auth.uid()) AND (user_store_memberships.status = 'active'::membership_status)))) OR (EXISTS ( SELECT 1\n   FROM profiles\n  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::user_role)))))	
public	ofertas	ofertas_select_rls	PERMISSIVE	authenticated	SELECT	(EXISTS ( SELECT 1\n   FROM user_store_memberships m\n  WHERE ((m.user_id = auth.uid()) AND (m.status = 'active'::membership_status) AND (m.store_id = ofertas.store_id))))	
public	orphaned_users_log	orphaned_users_log_insert_admin	PERMISSIVE	authenticated	INSERT		is_admin()
public	orphaned_users_log	orphaned_users_log_select_admin	PERMISSIVE	authenticated	SELECT	is_admin()	
public	orphaned_users_log	orphaned_users_log_update_admin	PERMISSIVE	authenticated	UPDATE	is_admin()	is_admin()
public	payment_transactions	payment_transactions_delete_own_store	PERMISSIVE	authenticated	DELETE	has_store_access(store_id)	
public	payment_transactions	payment_transactions_insert_own_store	PERMISSIVE	authenticated	INSERT		has_store_access(store_id)
public	payment_transactions	payment_transactions_select_own_store	PERMISSIVE	authenticated	SELECT	has_store_access(store_id)	
public	payment_transactions	payment_transactions_tenant_insert_with_check	PERMISSIVE	authenticated	INSERT		(store_id = ANY (current_user_store_ids()))
public	payment_transactions	payment_transactions_update_own_store	PERMISSIVE	authenticated	UPDATE	has_store_access(store_id)	has_store_access(store_id)
