schema	table	constraint	type	validated	definition
public	abc_classifications	abc_classifications_classification_check	c	true	CHECK ((classification = ANY (ARRAY['A'::text, 'B'::text, 'C'::text])))
public	abc_classifications	abc_classifications_product_id_fkey	f	true	FOREIGN KEY (product_id) REFERENCES products(id) ON DELETE CASCADE
public	abc_classifications	abc_classifications_store_id_fkey	f	true	FOREIGN KEY (store_id) REFERENCES stores(id) ON DELETE CASCADE
public	abc_classifications	abc_classifications_pkey	p	true	PRIMARY KEY (id)
public	abc_classifications	uq_abc_store_product_period	u	true	UNIQUE (store_id, product_id, period_year, period_month)
public	ai_api_keys	ai_api_keys_user_id_fkey	f	true	FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
public	ai_api_keys	ai_api_keys_pkey	p	true	PRIMARY KEY (id)
public	audit_events	audit_events_pkey	p	true	PRIMARY KEY (id)
public	audit_logs	audit_logs_store_id_check	c	true	CHECK (((store_id IS NOT NULL) OR (table_name = ANY (ARRAY['profiles'::text, 'stores'::text, 'system'::text]))))
public	audit_logs	audit_logs_store_id_fkey	f	true	FOREIGN KEY (store_id) REFERENCES stores(id)
public	audit_logs	audit_logs_user_id_fkey	f	true	FOREIGN KEY (user_id) REFERENCES auth.users(id)
public	audit_logs	fk_audit_logs_profiles	f	true	FOREIGN KEY (user_id) REFERENCES profiles(id)
public	audit_logs	audit_logs_pkey	p	true	PRIMARY KEY (id)
public	backup_table_registry	backup_table_registry_filter_strategy_check	c	true	CHECK ((filter_strategy = ANY (ARRAY['store_id'::text, 'global'::text, 'via_parent'::text, 'via_origin_dest'::text, 'via_entity_id'::text, 'by_id'::text])))
public	backup_table_registry	backup_table_registry_source_of_truth_check	c	true	CHECK ((source_of_truth = ANY (ARRAY['primary'::text, 'derived'::text, 'audit'::text, 'reference'::text, 'ephemeral'::text, 'unset'::text])))
public	backup_table_registry	backup_table_registry_tier_check	c	true	CHECK (((tier >= 0) AND (tier <= 99)))
public	backup_table_registry	backup_table_registry_pkey	p	true	PRIMARY KEY (id)
public	backup_table_registry	backup_table_registry_table_name_key	u	true	UNIQUE (table_name)
public	bank_statement_items	bank_statement_items_type_check	c	true	CHECK ((type = ANY (ARRAY['credit'::text, 'debit'::text])))
public	bank_statement_items	bank_statement_items_bank_statement_id_fkey	f	true	FOREIGN KEY (bank_statement_id) REFERENCES bank_statements(id) ON DELETE CASCADE
public	bank_statement_items	bank_statement_items_matched_transaction_id_fkey	f	true	FOREIGN KEY (matched_transaction_id) REFERENCES transactions(id) ON DELETE SET NULL
public	bank_statement_items	bank_statement_items_matched_transfer_id_fkey	f	true	FOREIGN KEY (matched_transfer_id) REFERENCES transfers(id) ON DELETE SET NULL
public	bank_statement_items	bank_statement_items_pkey	p	true	PRIMARY KEY (id)
public	bank_statements	bank_statements_status_check	c	true	CHECK ((status = ANY (ARRAY['pending'::text, 'reconciled'::text, 'discrepancy'::text])))
public	bank_statements	bank_statements_reconciled_by_fkey	f	true	FOREIGN KEY (reconciled_by) REFERENCES profiles(id)
public	bank_statements	bank_statements_store_id_fkey	f	true	FOREIGN KEY (store_id) REFERENCES stores(id) ON DELETE CASCADE
public	bank_statements	bank_statements_pkey	p	true	PRIMARY KEY (id)
