function_schema	function	deptype	dep_relkind	dep_schema	dep_name
public	alert_low_stock	normal			
public	audit_backup_restore_protected_change	normal			
public	audit_cash_closures_changes	normal			
public	audit_commission_payments_changes	normal			
public	audit_fiscal_closings_changes	normal			
public	audit_payment_transactions_changes	normal			
public	audit_product_changes	normal			
public	audit_profile_changes	normal			
public	audit_role_changes	normal			
public	audit_store_changes	normal			
public	auto_assign_store_to_creator	normal			
public	auto_kardex_on_stock_movement	normal			
public	calculate_commission_amount_cup	normal			
public	cash_dist	normal			
public	check_active_user	normal			
public	check_cash_session_open	normal			
public	check_reception_cost_variation	normal			
public	current_user_store_id	normal			
public	current_user_store_ids	normal			
public	current_user_tenant_id	normal			
public	date_dist	normal			
public	enforce_encargado_store_limit	normal			
public	enforce_encargado_user_limit	normal			
public	enforce_ledger_append_only	normal			
public	ensure_product_barcode	normal			
public	float4_dist	normal			
public	float8_dist	normal			
public	fn_generate_physical_count_number	normal			
public	fn_maintain_product_completeness	normal			
public	fn_sync_inventory_on_movement	normal			
public	fn_sync_profile_role	normal			
public	fn_validate_document_transition	normal			
public	gbt_bit_compress	auto			
public	gbt_bit_consistent	normal			
public	gbt_bit_penalty	normal			
public	gbt_bit_picksplit	normal			
public	gbt_bit_same	normal			
public	gbt_bit_union	normal			
public	gbt_bool_compress	auto			
public	gbt_bool_consistent	normal			
public	gbt_bool_fetch	auto			
public	gbt_bool_penalty	normal			
public	gbt_bool_picksplit	normal			
public	gbt_bool_same	normal			
public	gbt_bool_union	normal			
public	gbt_bpchar_compress	auto			
public	gbt_bpchar_consistent	normal			
public	gbt_bytea_compress	auto			
public	gbt_bytea_consistent	normal			
public	gbt_bytea_penalty	normal			
public	gbt_bytea_picksplit	normal			
public	gbt_bytea_same	normal			
public	gbt_bytea_union	normal			
public	gbt_cash_compress	auto			
public	gbt_cash_consistent	normal			
public	gbt_cash_distance	auto			
public	gbt_cash_fetch	auto			
public	gbt_cash_penalty	normal			
public	gbt_cash_picksplit	normal			
public	gbt_cash_same	normal			
public	gbt_cash_union	normal			
public	gbt_date_compress	auto			
public	gbt_date_consistent	normal			
public	gbt_date_distance	auto			
public	gbt_date_fetch	auto			
public	gbt_date_penalty	normal			
public	gbt_date_picksplit	normal			
public	gbt_date_same	normal			
public	gbt_date_union	normal			
public	gbt_decompress	auto			
public	gbt_enum_compress	auto			
public	gbt_enum_consistent	normal			
public	gbt_enum_fetch	auto			
public	gbt_enum_penalty	normal			
public	gbt_enum_picksplit	normal			
public	gbt_enum_same	normal			
public	gbt_enum_union	normal			
public	gbt_float4_compress	auto			
public	gbt_float4_consistent	normal			
public	gbt_float4_distance	auto			
public	gbt_float4_fetch	auto			
public	gbt_float4_penalty	normal			
public	gbt_float4_picksplit	normal			
public	gbt_float4_same	normal			
public	gbt_float4_union	normal			
public	gbt_float8_compress	auto			
public	gbt_float8_consistent	normal			
public	gbt_float8_distance	auto			
public	gbt_float8_fetch	auto			
public	gbt_float8_penalty	normal			
public	gbt_float8_picksplit	normal			
public	gbt_float8_same	normal			
public	gbt_float8_union	normal			
public	gbt_inet_compress	auto			
public	gbt_inet_consistent	normal			
public	gbt_inet_penalty	normal			
public	gbt_inet_picksplit	normal			
public	gbt_inet_same	normal			
public	gbt_inet_union	normal			
public	gbt_int2_compress	auto			
public	gbt_int2_consistent	normal			
public	gbt_int2_distance	auto			
public	gbt_int2_fetch	auto			
public	gbt_int2_penalty	normal			
public	gbt_int2_picksplit	normal			
public	gbt_int2_same	normal			
public	gbt_int2_union	normal			
public	gbt_int4_compress	auto			
public	gbt_int4_consistent	normal			
public	gbt_int4_distance	auto			
public	gbt_int4_fetch	auto			
public	gbt_int4_penalty	normal			
public	gbt_int4_picksplit	normal			
public	gbt_int4_same	normal			
public	gbt_int4_union	normal			
public	gbt_int8_compress	auto			
public	gbt_int8_consistent	normal			
public	gbt_int8_distance	auto			
public	gbt_int8_fetch	auto			
public	gbt_int8_penalty	normal			
public	gbt_int8_picksplit	normal			
public	gbt_int8_same	normal			
public	gbt_int8_union	normal			
public	gbt_intv_compress	auto			
public	gbt_intv_consistent	normal			
public	gbt_intv_decompress	auto			
public	gbt_intv_distance	auto			
public	gbt_intv_fetch	auto			
public	gbt_intv_penalty	normal			
public	gbt_intv_picksplit	normal			
public	gbt_intv_same	normal			
public	gbt_intv_union	normal			
public	gbt_macad8_compress	auto			
public	gbt_macad8_consistent	normal			
public	gbt_macad8_fetch	auto			
public	gbt_macad8_penalty	normal			
public	gbt_macad8_picksplit	normal			
public	gbt_macad8_same	normal			
public	gbt_macad8_union	normal			
public	gbt_macad_compress	auto			
public	gbt_macad_consistent	normal			
public	gbt_macad_fetch	auto			
public	gbt_macad_penalty	normal			
public	gbt_macad_picksplit	normal			
public	gbt_macad_same	normal			
public	gbt_macad_union	normal			
public	gbt_numeric_compress	auto			
public	gbt_numeric_consistent	normal			
public	gbt_numeric_penalty	normal			
public	gbt_numeric_picksplit	normal			
public	gbt_numeric_same	normal			
public	gbt_numeric_union	normal			
public	gbt_oid_compress	auto			
public	gbt_oid_consistent	normal			
public	gbt_oid_distance	auto			
public	gbt_oid_fetch	auto			
public	gbt_oid_penalty	normal			
public	gbt_oid_picksplit	normal			
public	gbt_oid_same	normal			
public	gbt_oid_union	normal			
public	gbt_text_compress	auto			
public	gbt_text_consistent	normal			
public	gbt_text_penalty	normal			
public	gbt_text_picksplit	normal			
public	gbt_text_same	normal			
public	gbt_text_union	normal			
public	gbt_time_compress	auto			
public	gbt_time_consistent	normal			
public	gbt_time_distance	auto			
public	gbt_time_fetch	auto			
public	gbt_time_penalty	normal			
public	gbt_time_picksplit	normal			
public	gbt_time_same	normal			
public	gbt_time_union	normal			
public	gbt_timetz_compress	auto			
public	gbt_timetz_consistent	normal			
public	gbt_ts_compress	auto			
public	gbt_ts_consistent	normal			
public	gbt_ts_distance	auto			
public	gbt_ts_fetch	auto			
public	gbt_ts_penalty	normal			
public	gbt_ts_picksplit	normal			
public	gbt_ts_same	normal			
public	gbt_ts_union	normal			
public	gbt_tstz_compress	auto			
public	gbt_tstz_consistent	normal			
public	gbt_tstz_distance	auto			
public	gbt_uuid_compress	auto			
public	gbt_uuid_consistent	normal			
public	gbt_uuid_fetch	auto			
public	gbt_uuid_penalty	normal			
public	gbt_uuid_picksplit	normal			
public	gbt_uuid_same	normal			
public	gbt_uuid_union	normal			
public	gbt_var_decompress	auto			
public	gbt_var_fetch	auto			
public	gbtreekey16_in	normal			
public	gbtreekey16_out	normal			
public	gbtreekey2_in	normal			
public	gbtreekey2_out	normal			
public	gbtreekey32_in	normal			
public	gbtreekey32_out	normal			
public	gbtreekey4_in	normal			
public	gbtreekey4_out	normal			
public	gbtreekey8_in	normal			
public	gbtreekey8_out	normal			
public	gbtreekey_var_in	normal			
public	gbtreekey_var_out	normal			
public	generate_production_order_number	normal			
public	get_current_user_store_id	normal			
public	get_my_role	normal			
public	handle_updated_at	normal			
public	has_any_role	normal			
public	has_role	normal			
public	has_store_access	normal			
public	has_store_role	normal			
public	int2_dist	normal			
public	int4_dist	normal			
