# REM-INV-4 addendum — LIVE indexes (public)
# columns: schema	table	index	definition
public	abc_classifications	abc_classifications_pkey	CREATE UNIQUE INDEX abc_classifications_pkey ON public.abc_classifications USING btree (id)
public	abc_classifications	idx_abc_store_class	CREATE INDEX idx_abc_store_class ON public.abc_classifications USING btree (store_id, classification)
public	abc_classifications	idx_abc_store_period	CREATE INDEX idx_abc_store_period ON public.abc_classifications USING btree (store_id, period_year, period_month)
public	abc_classifications	uq_abc_store_product_period	CREATE UNIQUE INDEX uq_abc_store_product_period ON public.abc_classifications USING btree (store_id, product_id, period_year, period_month)
public	ai_api_keys	ai_api_keys_pkey	CREATE UNIQUE INDEX ai_api_keys_pkey ON public.ai_api_keys USING btree (id)
public	ai_api_keys	ai_api_keys_user_id_idx	CREATE INDEX ai_api_keys_user_id_idx ON public.ai_api_keys USING btree (user_id)
public	audit_events	audit_events_pkey	CREATE UNIQUE INDEX audit_events_pkey ON public.audit_events USING btree (id)
public	audit_events	idx_audit_events_seq_id	CREATE INDEX idx_audit_events_seq_id ON public.audit_events USING btree (seq_id)
public	audit_events	idx_audit_events_tenant_id	CREATE INDEX idx_audit_events_tenant_id ON public.audit_events USING btree (tenant_id) WHERE (tenant_id IS NOT NULL)
public	audit_logs	audit_logs_pkey	CREATE UNIQUE INDEX audit_logs_pkey ON public.audit_logs USING btree (id)
public	audit_logs	idx_audit_logs_created_at	CREATE INDEX idx_audit_logs_created_at ON public.audit_logs USING btree (created_at DESC)
public	audit_logs	idx_audit_logs_store_created	CREATE INDEX idx_audit_logs_store_created ON public.audit_logs USING btree (store_id, created_at DESC) WHERE (store_id IS NOT NULL)
public	audit_logs	idx_audit_logs_store_id	CREATE INDEX idx_audit_logs_store_id ON public.audit_logs USING btree (store_id)
public	audit_logs	idx_audit_logs_table	CREATE INDEX idx_audit_logs_table ON public.audit_logs USING btree (table_name)
public	audit_logs	idx_audit_logs_trace_id	CREATE INDEX idx_audit_logs_trace_id ON public.audit_logs USING btree (trace_id) WHERE (trace_id IS NOT NULL)
public	audit_logs	idx_audit_logs_user	CREATE INDEX idx_audit_logs_user ON public.audit_logs USING btree (user_id)
public	backup_table_registry	backup_table_registry_pkey	CREATE UNIQUE INDEX backup_table_registry_pkey ON public.backup_table_registry USING btree (id)
public	backup_table_registry	backup_table_registry_table_name_key	CREATE UNIQUE INDEX backup_table_registry_table_name_key ON public.backup_table_registry USING btree (table_name)
public	backup_table_registry	idx_backup_registry_active	CREATE INDEX idx_backup_registry_active ON public.backup_table_registry USING btree (table_name) WHERE (excluded_from_restore = false)
public	backup_table_registry	idx_backup_registry_tier	CREATE INDEX idx_backup_registry_tier ON public.backup_table_registry USING btree (tier, table_name) WHERE (excluded_from_restore = false)
public	backup_table_registry	idx_backup_registry_truth	CREATE INDEX idx_backup_registry_truth ON public.backup_table_registry USING btree (source_of_truth) WHERE (excluded_from_restore = false)
public	bank_statement_items	bank_statement_items_pkey	CREATE UNIQUE INDEX bank_statement_items_pkey ON public.bank_statement_items USING btree (id)
public	bank_statement_items	idx_bank_items_matched	CREATE INDEX idx_bank_items_matched ON public.bank_statement_items USING btree (matched_transaction_id) WHERE (matched_transaction_id IS NOT NULL)
public	bank_statement_items	idx_bank_items_stmt	CREATE INDEX idx_bank_items_stmt ON public.bank_statement_items USING btree (bank_statement_id)
public	bank_statement_items	idx_bank_items_unmatched	CREATE INDEX idx_bank_items_unmatched ON public.bank_statement_items USING btree (bank_statement_id) WHERE (is_matched = false)
public	bank_statements	bank_statements_pkey	CREATE UNIQUE INDEX bank_statements_pkey ON public.bank_statements USING btree (id)
public	bank_statements	idx_bank_stmt_store_date	CREATE INDEX idx_bank_stmt_store_date ON public.bank_statements USING btree (store_id, statement_date DESC)
public	bulk_confirmation_tokens	bulk_confirmation_tokens_pkey	CREATE UNIQUE INDEX bulk_confirmation_tokens_pkey ON public.bulk_confirmation_tokens USING btree (id)
public	bulk_confirmation_tokens	bulk_confirmation_tokens_token_key	CREATE UNIQUE INDEX bulk_confirmation_tokens_token_key ON public.bulk_confirmation_tokens USING btree (token)
public	bulk_confirmation_tokens	idx_bulk_tokens_cleanup	CREATE INDEX idx_bulk_tokens_cleanup ON public.bulk_confirmation_tokens USING btree (expires_at) WHERE (consumed_at IS NULL)
public	bulk_confirmation_tokens	idx_bulk_tokens_token	CREATE INDEX idx_bulk_tokens_token ON public.bulk_confirmation_tokens USING btree (token) WHERE (consumed_at IS NULL)
public	bulk_ops_log	bulk_ops_log_pkey	CREATE UNIQUE INDEX bulk_ops_log_pkey ON public.bulk_ops_log USING btree (id)
