# REM-INV-4 addendum — LIVE user-defined types (public)
# columns: type	kind	enum_labels	owner
abc_classifications	c		postgres
adjustment_item	c		postgres
ai_api_keys	c		postgres
audit_events	c		postgres
audit_logs	c		postgres
backup_table_registry	c		postgres
bank_statement_items	c		postgres
bank_statements	c		postgres
bulk_confirmation_tokens	c		postgres
bulk_ops_log	c		postgres
business_events	c		postgres
cash_closures	c		postgres
cash_movements	c		postgres
cash_register_sessions	c		postgres
cash_sessions	c		postgres
categories	c		postgres
commission_payments	c		postgres
commission_reception_links	c		postgres
commission_rule_products	c		postgres
commission_rule_versions	c		postgres
commission_rules	c		postgres
cost_sheet_templates	c		postgres
cost_sheets	c		postgres
customers	c		postgres
devolution_items	c		postgres
devolutions	c		postgres
document_sequences	c		postgres
exchange_rate_audit	c		postgres
exchange_rates	c		postgres
fiscal_closings	c		postgres
idempotency_keys	c		postgres
idempotency_registry	c		postgres
inventory	c		postgres
inventory_adjustment_items	c		postgres
inventory_adjustments	c		postgres
inventory_batches	c		postgres
inventory_movements	c		postgres
inventory_reservations	c		postgres
inventory_snapshots	c		postgres
issue_slip_items	c		postgres
issue_slips	c		postgres
kardex_entries	c		postgres
learning_cards	c		postgres
legal_models	c		postgres
legal_resolutions	c		postgres
migration_history_snapshots	c		postgres
mv_cash_session	c		postgres
mv_margin_product	c		postgres
mv_sales_daily	c		postgres
ofertas	c		postgres
orphaned_users_log	c		postgres
payment_transactions	c		postgres
physical_count_items	c		postgres
physical_counts	c		postgres
pick3_history	c		postgres
pick3_ledger	c		postgres
pick3_profiles	c		postgres
pick3_referrals	c		postgres
pick3_simulations	c		postgres
pick3_subscriptions	c		postgres
pick3_usage	c		postgres
pick3_user_plays	c		postgres
pr2_backup_receipt_items_20260810	c		postgres
pr2_backup_receipts_20260810	c		postgres
price_change_history	c		postgres
price_commit_log	c		postgres
product_cost_sheets	c		postgres
product_lots	c		postgres
product_variants	c		postgres
production_order_items	c		postgres
production_orders	c		postgres
products	c		postgres
profiles	c		postgres
purchase_items	c		postgres
purchase_order_items	c		postgres
purchase_orders	c		postgres
quotation_items	c		postgres
quotations	c		postgres
receipt_items	c		postgres
receipt_tasa_audit	c		postgres
receipts	c		postgres
received_services	c		postgres
report_definitions	c		postgres
report_runs	c		postgres
restore_sessions	c		postgres
roles	c		postgres
rss_feeds	c		postgres
rss_settings	c		postgres
sale_items	c		postgres
sales	c		postgres
sales_transactions	c		postgres
saved_analytics_views	c		postgres
service_audit_log	c		postgres
service_cost_distributions	c		postgres
service_reception_links	c		postgres
service_types	c		postgres
stock_movements	c		postgres
store_cost_templates	c		postgres
store_credit_ledger	c		postgres
store_exchange_rates	c		postgres
store_notifications	c		postgres
store_reset_snapshots	c		postgres
stores	c		postgres
suppliers	c		postgres
sync_log	c		postgres
system_config	c		postgres
system_health_logs	c		postgres
system_metrics	c		postgres
tax_configurations	c		postgres
telegram_configs	c		postgres
telegram_contacts	c		postgres
telegram_invitations	c		postgres
telegram_messages	c		postgres
telegram_product_posts	c		postgres
tenants	c		postgres
transaction_item_lots	c		postgres
transaction_items	c		postgres
transaction_recovery_ledger	c		postgres
transactions	c		postgres
transfer_approval_rules	c		postgres
transfer_items	c		postgres
transfers	c		postgres
units_of_measure	c		postgres
usage_aggregates	c		postgres
usage_alerts	c		postgres
usage_drift	c		postgres
usage_thresholds	c		postgres
user_audit_log	c		postgres
user_invitations	c		postgres
user_preferences	c		postgres
user_progress	c		postgres
user_store_memberships	c		postgres
user_strategy_feedback	c		postgres
user_usage	c		postgres
v_document_state_summary	c		postgres
v_global_operation_dates	c		postgres
v_physical_count_summary	c		postgres
v_profiles_unified	c		postgres
v_purchase_orders_cxp	c		postgres
v_rls_tenant_backfill_audit	c		postgres
v_stock_available	c		postgres
v_stock_discrepancies	c		postgres
variant_decomposition	c		postgres
w62_df04_design_params	c		postgres
w62_df04_synthetic_rows	c		postgres
w62_zero_cost_flags	c		postgres
wac_change_log	c		postgres
wallet_accounts	c		postgres
wallet_transactions	c		postgres
warehouse_stock	c		postgres
warehouses	c		postgres
whatsapp_configs	c		postgres
whatsapp_contacts	c		postgres
whatsapp_invitations	c		postgres
whatsapp_messages	c		postgres
whatsapp_product_posts	c		postgres
whatsapp_risk_state	c		postgres
workers	c		postgres
z_reports	c		postgres
cash_movement_type_enum	e	in,out	postgres
cash_session_status_enum	e	open,closed	postgres
discount_type_enum	e	fixed,percentage	postgres
inventory_adjustment_reason	e	STOCKTAKE_SHRINKAGE,STOCKTAKE_SURPLUS,DAMAGED_GOODS,OTHER	postgres
membership_status	e	active,revoked	postgres
movement_type	e	sale,purchase,adjustment,return,initial,transfer,void,transfer_in,transfer_out,sale_void,production_out,production_in,sale_reverse,purchase_reverse,production_reverse,issue_slip_out,issue_slip_reverse,devolution_reverse	postgres
payment_method_enum	e	cash,card,transfer,wallet,other,mixed,zelle	postgres
plan_t	e	free,pro,enterprise	postgres
product_status	e	DRAFT,ACTIVE,DEPRECATED	postgres
purchase_status_enum	e	draft,sent,partial,received,cancelled	postgres
transaction_status	e	pending,completed,failed,compensated,cancelled,refunded,voided,reversed	postgres
transfer_status	e	PENDIENTE,CONFIRMADA,CANCELADA,REVERSADA	postgres
user_role	e	admin,superadmin,manager,clerk,warehouse,encargado,usuario,costo,tenant_admin	postgres
