# REM-INV-4 addendum — LIVE RLS flags (public tables)
# columns: table	rls_enabled	rls_forced	policies_n
abc_classifications	true	false	3
ai_api_keys	true	false	1
audit_events	true	false	3
audit_logs	true	false	3
backup_table_registry	true	false	2
bank_statement_items	true	false	3
bank_statements	true	false	4
bulk_confirmation_tokens	true	false	1
bulk_ops_log	true	false	2
business_events	true	false	1
cash_closures	true	false	6
cash_movements	true	false	4
cash_register_sessions	true	false	1
cash_sessions	true	false	3
categories	true	false	2
commission_payments	true	false	6
commission_reception_links	true	false	3
commission_rule_products	true	false	5
commission_rule_versions	true	false	2
commission_rules	true	false	6
cost_sheet_templates	true	false	4
cost_sheets	true	false	2
customers	true	false	4
devolution_items	true	false	2
devolutions	true	false	4
document_sequences	true	true	1
exchange_rate_audit	true	true	0
exchange_rates	true	false	3
fiscal_closings	true	false	3
idempotency_keys	true	false	0
idempotency_registry	true	true	1
inventory	true	false	5
inventory_adjustment_items	true	false	1
inventory_adjustments	true	false	6
inventory_batches	true	false	1
inventory_movements	true	false	1
inventory_reservations	true	false	1
inventory_snapshots	true	false	1
issue_slip_items	true	true	1
issue_slips	true	true	1
kardex_entries	true	false	3
learning_cards	true	false	4
legal_models	true	false	1
legal_resolutions	true	false	1
migration_history_snapshots	true	false	0
ofertas	true	false	5
orphaned_users_log	true	false	3
payment_transactions	true	false	5
physical_count_items	true	false	1
physical_counts	true	false	1
pick3_history	true	false	2
pick3_ledger	true	false	2
pick3_profiles	true	false	3
pick3_referrals	true	false	3
pick3_simulations	true	false	1
pick3_subscriptions	true	false	3
pick3_usage	true	false	3
pick3_user_plays	true	false	1
pr2_backup_receipt_items_20260810	true	false	1
pr2_backup_receipts_20260810	true	false	1
price_change_history	true	false	2
price_commit_log	true	false	3
product_cost_sheets	true	false	6
product_lots	true	false	4
product_variants	true	false	5
production_order_items	true	true	4
production_orders	true	false	4
products	true	false	8
profiles	true	false	4
purchase_items	true	false	1
purchase_order_items	true	false	6
purchase_orders	true	false	8
quotation_items	true	false	2
quotations	true	false	4
receipt_items	true	false	4
receipt_tasa_audit	true	false	2
receipts	true	false	6
received_services	true	false	4
report_definitions	true	false	1
report_runs	true	false	2
restore_sessions	true	false	1
roles	true	false	2
rss_feeds	true	false	2
rss_settings	true	false	2
sale_items	true	false	1
sales	true	false	1
sales_transactions	true	false	6
saved_analytics_views	true	false	4
service_audit_log	true	false	3
service_cost_distributions	true	false	4
service_reception_links	true	false	4
service_types	true	false	2
stock_movements	true	true	6
store_cost_templates	true	false	5
store_credit_ledger	true	false	0
store_exchange_rates	true	false	2
store_notifications	true	false	2
store_reset_snapshots	true	false	1
stores	true	false	8
suppliers	true	false	3
sync_log	true	false	3
system_config	true	false	2
system_health_logs	true	false	1
system_metrics	true	false	2
tax_configurations	true	false	1
telegram_configs	true	false	2
telegram_contacts	true	false	2
telegram_invitations	true	false	2
telegram_messages	true	false	2
telegram_product_posts	true	false	2
tenants	true	false	5
transaction_item_lots	true	false	1
transaction_items	true	false	2
transaction_recovery_ledger	true	false	1
transactions	true	false	7
transfer_approval_rules	true	false	1
transfer_items	true	false	2
transfers	true	false	2
units_of_measure	true	false	0
usage_aggregates	true	false	3
usage_alerts	true	false	3
usage_drift	true	false	2
usage_thresholds	true	false	2
user_audit_log	true	false	1
user_invitations	true	false	3
user_preferences	true	false	2
user_progress	true	false	4
user_store_memberships	true	false	4
user_strategy_feedback	true	false	3
user_usage	true	false	1
w62_df04_design_params	true	false	0
w62_df04_synthetic_rows	true	false	0
w62_zero_cost_flags	true	false	0
wac_change_log	true	false	0
wallet_accounts	true	false	5
wallet_transactions	true	false	5
warehouse_stock	true	false	4
warehouses	true	false	4
whatsapp_configs	true	false	2
whatsapp_contacts	true	false	2
whatsapp_invitations	true	false	2
whatsapp_messages	true	false	2
whatsapp_product_posts	true	false	2
whatsapp_risk_state	true	false	2
workers	true	false	6
z_reports	true	false	1
