identity	git_final_source	live_ref	body	security	search_path	signature	body_note	overall	git_final_body_md5	live_prosrc_md5
public.is_admin()	git:20260627000001_versionar_has_store_access.sql	oid:17741	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	d3d5d5f7c3b24201ed6b62a7114bb49f	d3d5d5f7c3b24201ed6b62a7114bb49f
public.fn_update_inventory_on_movement()	NOT_IN_GIT	oid:20168	-	-	-	-	-	ORPHAN_LIVE	-	-
public.generate_inventory_snapshot(p_store_id uuid)	NOT_IN_GIT	oid:20172	-	-	-	-	-	ORPHAN_LIVE	-	-
public.prevent_inventory_direct_write()	NOT_IN_GIT	oid:21386	-	-	-	-	-	ORPHAN_LIVE	-	-
public.record_sale_movement(p_store_id uuid, p_product_id uuid, p_variant_id uuid, p_quantity integer, p_reference text)	git:20260127_canonical_stock_movement.sql	oid:21401	MATCH_CANONICAL	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado (solo-ws)	DRIFT_ATTRS	bf46bb2450fafb5ad7342ec155a1a72c	50820c1a2e7a80ae89a8a2cefc0927ef
public.current_user_store_id()	git:20260118_multi_store_rls.sql	oid:21750	MATCH_CANONICAL	MATCH	DRIFT_SEARCH_PATH	MATCH	final declarado (solo-ws)	DRIFT_ATTRS	0a3720e8e6735b0a4aa3b2762af3da54	eff8c085c92c6063785a95b0e6dfa17b
public.get_user_role()	NOT_IN_GIT	oid:21751	-	-	-	-	-	ORPHAN_LIVE	-	-
public.prevent_direct_inventory_modification()	git:20260802000008_v2_12_47_restore_rpc_execute.sql	oid:21754	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	c1f53ddabd1111ff93bb1a07aa9837b4	c1f53ddabd1111ff93bb1a07aa9837b4
public.cleanup_expired_idempotency_keys()	NOT_IN_GIT	oid:21756	-	-	-	-	-	ORPHAN_LIVE	-	-
public.has_any_role(required_roles user_role[])	git:20260118_multi_store_rls.sql	oid:21790	DRIFT_FUNCTION_BODY	MATCH	DRIFT_SEARCH_PATH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	ad396fa554aa7b6f5e8190e9bbe763a7	d84e68029daf07caee08bfe479672eed
public.get_my_sales(p_search_query text, p_status text, p_date_from timestamp with time zone, p_date_to timestamp with time zone, p_min_amount numeric, p_max_amount numeric, p_sort_column text, p_sort_direction text, p_limit integer, p_offset integer)	NOT_IN_GIT	oid:23014	-	-	-	-	-	ORPHAN_LIVE	-	-
public.get_product_variants_counts()	NOT_IN_GIT	oid:24207	-	-	-	-	-	ORPHAN_LIVE	-	-
public.close_cash_session(p_session_id uuid, p_counted_cash numeric)	NOT_IN_GIT	oid:25489	-	-	-	-	-	ORPHAN_LIVE	-	-
public.check_active_user()	NOT_IN_GIT	oid:25491	-	-	-	-	-	ORPHAN_LIVE	-	-
public.check_cash_session_open()	NOT_IN_GIT	oid:25493	-	-	-	-	-	ORPHAN_LIVE	-	-
public.prevent_negative_inventory()	git:20260802000008_v2_12_47_restore_rpc_execute.sql	oid:25495	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	406dc1ae83a5e672a3296e86f74b49b3	406dc1ae83a5e672a3296e86f74b49b3
public.alert_low_stock()	git:20260802000008_v2_12_47_restore_rpc_execute.sql	oid:25497	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	59590dbd9588489ed3f27aa8ff609517	59590dbd9588489ed3f27aa8ff609517
public.apply_fifo_on_sale()	NOT_IN_GIT	oid:25555	-	-	-	-	-	ORPHAN_LIVE	-	-
public.update_inventory_after_sale()	NOT_IN_GIT	oid:25557	-	-	-	-	-	ORPHAN_LIVE	-	-
public.fn_sync_inventory_on_movement()	git:20260820000007_fix_h01_store_mismatch.sql	oid:26677	MATCH_BYTE	MATCH	MATCH	MATCH	final declarado	MATCH	6e3f97c765b82e692199a3b6428cafe3	6e3f97c765b82e692199a3b6428cafe3
public.fn_process_receipt(p_items jsonb, p_user_id uuid, p_reference text)	git:20260326_multi_tenant_hardening.sql	oid:26950	DRIFT_FUNCTION_BODY	MATCH	MATCH	MATCH	cuerpo LIVE nunca declarado en Git	DRIFT_BODY	b32dfcca5b9b06009567504dbee5abb5	99a3aed010e600b0e613f988ace09589
public.fn_process_sale(p_items jsonb, p_cashier_id uuid, p_payment_method text)	NOT_IN_GIT	oid:26951	-	-	-	-	-	ORPHAN_LIVE	-	-
public.fn_void_receipt(p_receipt_id uuid, p_user_id uuid)	NOT_IN_GIT	oid:26952	-	-	-	-	-	ORPHAN_LIVE	-	-
public.can_void_receipt(p_receipt_id uuid)	NOT_IN_GIT	oid:28123	-	-	-	-	-	ORPHAN_LIVE	-	-
