policy	git_source	live_state	classification	detail
abc_classifications.abc_delete	git:20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=DELETE live_cmd=DELETE
abc_classifications.abc_insert	git:20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
abc_classifications.abc_select	git:20260726000003_v2_0_lots_warehouses_abc_reconciliation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
ai_api_keys.Users can manage their own AI keys	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	ALL
audit_events.audit_events_tenant_select	git:20260807000005_v2_21_0_rls_tenant_policies.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
audit_events.Deny direct writes to audit_events	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	INSERT
audit_events.Deny modifications to audit_events	git:20260324_total_remediation.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
audit_logs.Audit logs select	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	SELECT
audit_logs.audit_logs_insert_authenticated	git:20260803000001_v2_13_1_audit_logs_lockdown.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=INSERT live_cmd=INSERT
audit_logs.audit_logs_select_own_and_managed	git:20260616000002_audit_logs_rls.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
backup_table_registry.registry_read_authenticated	git:20260802000006_v2_12_45_backup_registry.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=SELECT live_cmd=SELECT
backup_table_registry.registry_write_admin_only	git:20260802000006_v2_12_45_backup_registry.sql	LIVE_PRESENT	MATCH_EXISTENCE	git_cmd=ALL live_cmd=ALL
