table	git_state	live_state	classification
abc_classifications	GIT_PRESENT	LIVE_PRESENT	MATCH
ai_api_keys	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
audit_events	GIT_PRESENT	LIVE_PRESENT	MATCH
audit_logs	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
backup_table_registry	GIT_PRESENT	LIVE_PRESENT	MATCH
bank_statement_items	GIT_PRESENT	LIVE_PRESENT	MATCH
bank_statements	GIT_PRESENT	LIVE_PRESENT	MATCH
bulk_confirmation_tokens	GIT_PRESENT	LIVE_PRESENT	MATCH
bulk_ops_log	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
business_events	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
cash_closures	GIT_PRESENT	LIVE_PRESENT	MATCH
cash_movements	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
cash_register_sessions	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
cash_sessions	GIT_PRESENT	LIVE_PRESENT	MATCH
categories	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
commission_payments	GIT_PRESENT	LIVE_PRESENT	MATCH
commission_reception_links	GIT_PRESENT	LIVE_PRESENT	MATCH
commission_rule_products	GIT_PRESENT	LIVE_PRESENT	MATCH
commission_rule_versions	GIT_PRESENT	LIVE_PRESENT	MATCH
commission_rules	GIT_PRESENT	LIVE_PRESENT	MATCH
cost_sheet_templates	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
cost_sheets	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
customers	GIT_PRESENT	LIVE_PRESENT	MATCH
devolution_items	GIT_PRESENT	LIVE_PRESENT	MATCH
devolutions	GIT_PRESENT	LIVE_PRESENT	MATCH
document_sequences	GIT_PRESENT	LIVE_PRESENT	MATCH
exchange_rate_audit	GIT_PRESENT	LIVE_PRESENT	MATCH
exchange_rates	GIT_PRESENT	LIVE_PRESENT	MATCH
fiscal_closings	GIT_PRESENT	LIVE_PRESENT	MATCH
idempotency_keys	GIT_PRESENT	LIVE_PRESENT	MATCH
idempotency_registry	GIT_PRESENT	LIVE_PRESENT	MATCH
inventory	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
inventory_adjustment_items	GIT_PRESENT	LIVE_PRESENT	MATCH
inventory_adjustments	GIT_PRESENT	LIVE_PRESENT	MATCH
inventory_batches	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
inventory_movements	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
inventory_reservations	GIT_PRESENT	LIVE_PRESENT	MATCH
inventory_snapshots	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
issue_slip_items	GIT_PRESENT	LIVE_PRESENT	MATCH
issue_slips	GIT_PRESENT	LIVE_PRESENT	MATCH
kardex_entries	GIT_PRESENT	LIVE_PRESENT	MATCH
learning_cards	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
legal_models	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
legal_resolutions	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
migration_history_snapshots	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
ofertas	GIT_PRESENT	LIVE_PRESENT	MATCH
orphaned_users_log	GIT_PRESENT	LIVE_PRESENT	MATCH
payment_transactions	GIT_PRESENT	LIVE_PRESENT	MATCH
physical_count_items	GIT_PRESENT	LIVE_PRESENT	MATCH
physical_counts	GIT_PRESENT	LIVE_PRESENT	MATCH
pick3_history	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
pick3_ledger	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
pick3_profiles	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
pick3_referrals	GIT_PRESENT	LIVE_PRESENT	MATCH
pick3_simulations	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
pick3_subscriptions	GIT_PRESENT	LIVE_PRESENT	MATCH
pick3_usage	GIT_PRESENT	LIVE_PRESENT	MATCH
pick3_user_plays	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
pr2_backup_receipt_items_20260810	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
pr2_backup_receipts_20260810	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
price_change_history	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
price_commit_log	GIT_PRESENT	LIVE_PRESENT	MATCH
product_cost_sheets	GIT_PRESENT	LIVE_PRESENT	MATCH
product_lots	GIT_PRESENT	LIVE_PRESENT	MATCH
product_variants	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
production_order_items	GIT_PRESENT	LIVE_PRESENT	MATCH
production_orders	GIT_PRESENT	LIVE_PRESENT	MATCH
products	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
profiles	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
purchase_items	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
purchase_order_items	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
purchase_orders	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
quotation_items	GIT_PRESENT	LIVE_PRESENT	MATCH
quotations	GIT_PRESENT	LIVE_PRESENT	MATCH
receipt_items	GIT_PRESENT	LIVE_PRESENT	MATCH
receipt_tasa_audit	GIT_PRESENT	LIVE_PRESENT	MATCH
receipts	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
received_services	GIT_PRESENT	LIVE_PRESENT	MATCH
report_definitions	GIT_PRESENT	LIVE_PRESENT	MATCH
report_runs	GIT_PRESENT	LIVE_PRESENT	MATCH
restore_sessions	GIT_PRESENT	LIVE_PRESENT	MATCH
roles	GIT_PRESENT	LIVE_PRESENT	MATCH
rss_feeds	GIT_PRESENT	LIVE_PRESENT	MATCH
rss_settings	GIT_PRESENT	LIVE_PRESENT	MATCH
sale_items	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
sales	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
sales_transactions	GIT_PRESENT	LIVE_PRESENT	MATCH
saved_analytics_views	GIT_PRESENT	LIVE_PRESENT	MATCH
service_audit_log	GIT_PRESENT	LIVE_PRESENT	MATCH
service_cost_distributions	GIT_PRESENT	LIVE_PRESENT	MATCH
service_reception_links	GIT_PRESENT	LIVE_PRESENT	MATCH
service_types	GIT_PRESENT	LIVE_PRESENT	MATCH
stock_movements	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
store_cost_templates	GIT_PRESENT	LIVE_PRESENT	MATCH
store_credit_ledger	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
store_exchange_rates	GIT_PRESENT	LIVE_PRESENT	MATCH
store_notifications	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
store_reset_snapshots	GIT_PRESENT	LIVE_PRESENT	MATCH
stores	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
suppliers	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
sync_log	GIT_PRESENT	LIVE_PRESENT	MATCH
system_config	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
system_health_logs	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
system_metrics	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
tax_configurations	GIT_PRESENT	LIVE_PRESENT	MATCH
telegram_configs	GIT_PRESENT	LIVE_PRESENT	MATCH
telegram_contacts	GIT_PRESENT	LIVE_PRESENT	MATCH
telegram_invitations	GIT_PRESENT	LIVE_PRESENT	MATCH
telegram_messages	GIT_PRESENT	LIVE_PRESENT	MATCH
telegram_product_posts	GIT_PRESENT	LIVE_PRESENT	MATCH
tenants	GIT_PRESENT	LIVE_PRESENT	MATCH
transaction_item_lots	GIT_PRESENT	LIVE_PRESENT	MATCH
transaction_items	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
transaction_recovery_ledger	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
transactions	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
transfer_approval_rules	GIT_PRESENT	LIVE_PRESENT	MATCH
transfer_items	GIT_PRESENT	LIVE_PRESENT	MATCH
transfers	GIT_PRESENT	LIVE_PRESENT	MATCH
units_of_measure	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE
usage_aggregates	GIT_PRESENT	LIVE_PRESENT	MATCH
usage_alerts	GIT_PRESENT	LIVE_PRESENT	MATCH
usage_drift	GIT_PRESENT	LIVE_PRESENT	MATCH
usage_thresholds	GIT_PRESENT	LIVE_PRESENT	MATCH
