trigger	git_source	live_state	classification	detail
audit_logs.trg_set_audit_log_trace_id	git:20260811000002_v2_20_2_rpc_trace_id.sql	LIVE_PRESENT	MATCH	git:set_audit_log_trace_id live:set_audit_log_trace_id
audit_logs.update_audit_logs_updated_at	git:20260126_fix_audit_logs_rls_and_schema.sql	LIVE_PRESENT	MATCH	git:update_updated_at_column live:update_updated_at_column
auth.users.tr_on_auth_user_created	git:20260302_0006_fix_hierarchy_and_triggers.sql	LIVE_PRESENT	MATCH	git:on_auth_user_created live:on_auth_user_created
cash_closures.prevent_cash_closure_edit	git:20260809000001_v2_18_1_cash_closure_immutability.sql	LIVE_PRESENT	MATCH	git:prevent_cash_closure_edit live:prevent_cash_closure_edit
cash_closures.trg_audit_cash_closures	git:20260809000004_v2_18_4_audit_triggers.sql	LIVE_PRESENT	MATCH	git:audit_cash_closures_changes live:audit_cash_closures_changes
cash_register_sessions.trg_check_cash_session_closed	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	check_cash_session_open()
commission_payments.commission_payments_touch_updated_at	git:20260626000002_workers_commissions.sql	LIVE_PRESENT	MATCH	git:touch_updated_at live:touch_updated_at
commission_payments.trg_audit_commission_payments	git:20260809000004_v2_18_4_audit_triggers.sql	LIVE_PRESENT	MATCH	git:audit_commission_payments_changes live:audit_commission_payments_changes
commission_payments.trg_calc_commission_cup	git:20260712000002_commission_payment_tracking.sql	LIVE_PRESENT	MATCH	git:calculate_commission_amount_cup live:calculate_commission_amount_cup
commission_payments.trg_set_default_due_date_commission	git:20260713000004_commission_payments_due_date.sql	LIVE_PRESENT	MATCH	git:set_default_due_date_commission live:set_default_due_date_commission
commission_rule_products.commission_rule_products_touch_updated_at	git:20260715000008_commission_rule_products_per_product_config.sql	LIVE_PRESENT	MATCH	git:touch_updated_at live:touch_updated_at
commission_rules.commission_rules_snapshot	git:20260626000002_workers_commissions.sql	LIVE_PRESENT	MATCH	git:snapshot_commission_rule live:snapshot_commission_rule
commission_rules.commission_rules_touch_updated_at	git:20260626000002_workers_commissions.sql	LIVE_PRESENT	MATCH	git:touch_updated_at live:touch_updated_at
cost_sheets.update_cost_sheets_updated_at	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	update_updated_at_column()
devolutions.trg_validate_devolution_transition	git:20260726000006_v2_3_production_reversal_and_validation.sql	LIVE_PRESENT	MATCH	git:fn_validate_document_transition live:fn_validate_document_transition
fiscal_closings.prevent_fiscal_closing_edit	git:20260810000005_v2_19_5_fiscal_closings_immutable.sql	LIVE_PRESENT	MATCH	git:prevent_fiscal_closing_edit live:prevent_fiscal_closing_edit
fiscal_closings.trg_audit_fiscal_closings	git:20260809000004_v2_18_4_audit_triggers.sql	LIVE_PRESENT	MATCH	git:audit_fiscal_closings_changes live:audit_fiscal_closings_changes
inventory.trg_alert_low_stock	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	alert_low_stock()
inventory.trg_prevent_negative_inventory	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	prevent_negative_inventory()
inventory.trg_sync_products_stock_current	git:20260113_consolidate_stock_source.sql	LIVE_PRESENT	MATCH	git:sync_products_stock_current live:sync_products_stock_current
inventory.trigger_prevent_inventory_update	NOT_IN_GIT	LIVE_PRESENT	ORPHAN_LIVE	prevent_direct_inventory_modification()
