REM-INV-4A-R — Zero-touch diff (§37): PRE == POST required. No business DML by this gate.
Note: LIVE has no separate "payments" table; payment footprint = payment_transactions.

table	count PRE	count POST	max_created PRE	max_created POST	equal
stores	50	50	2026-09-10 21:50:42.534433+00	2026-09-10 21:50:42.534433+00	OK
products	367	367	2026-09-10 23:48:12.923736+00	2026-09-10 23:48:12.923736+00	OK
inventory	277	277	2026-09-11 03:49:29.963844+00	2026-09-11 03:49:29.963844+00	OK
stock_movements	1021	1021	2026-09-11 04:25:37.079359+00	2026-09-11 04:25:37.079359+00	OK
transactions	597	597	2026-09-11 04:25:44.22297+00	2026-09-11 04:25:44.22297+00	OK
payment_transactions	458	458	2026-09-11 04:24:09.0631+00	2026-09-11 04:24:09.0631+00	OK
devolutions	25	25	2026-09-10 23:58:39.315276+00	2026-09-10 23:58:39.315276+00	OK
devolution_items	25	25	2026-09-10 23:58:39.315276+00	2026-09-10 23:58:39.315276+00	OK
receipts	63	63	2026-09-11 00:06:09.59+00	2026-09-11 00:06:09.59+00	OK
transfers	8	8	2026-09-10 23:58:30.878079+00	2026-09-10 23:58:30.878079+00	OK
purchase_orders	8	8	2026-09-11 04:10:15.171218+00	2026-09-11 04:10:15.171218+00	OK
production_orders	89	89	2026-09-11 04:25:49.117942+00	2026-09-11 04:25:49.117942+00	OK
cash_sessions	0	0	-	-	OK
audit_logs	8145	8145	2026-09-13 03:19:31.092902+00	2026-09-13 03:19:31.092902+00	OK

RESULT: PRE == POST — ZERO-TOUCH PASS (all 14 tables)
