REM-INV-5 — 23 GATE R: scan final de secretos (estado final del repo)

Alcance: 4745 archivos tracked (incluye docs/, scripts/, .github/, supabase/, src/,
audit-evidence/REM-INV-5/ con las nuevas evidencias, la migración nueva, el snapshot
del contrato y el test estático).

tracked files scanned: 4745
pattern hits: 174  |  REAL_SECRET: 0

  [FALSE_POSITIVE                  ] ACCESS_TOKEN           .env.example:13 -> ACCESS_TOKEN=YOUR_ACCESS_TOKEN_HERE
  [FALSE_POSITIVE                  ] SUPABASE_ACCESS_TOKEN  .env.example:13 -> SUPABASE_ACCESS_TOKEN=YOUR_ACCESS_TOKEN_HERE
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] ACCESS_TOKEN           .github/workflows/ci.yml:19 -> ACCESS_TOKEN: ${{
  [FALSE_POSITIVE                  ] SUPABASE_ACCESS_TOKEN  .github/workflows/ci.yml:19 -> SUPABASE_ACCESS_TOKEN: ${{
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260828/CHECKPOINT-INVENTORY-20260828.txt:12559 -> Authorization: Bearer
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] TOKEN=                 audit-evidence/20260828/download/auditoria-multitienda/RECOVERY-20260828/PRODUCTION-SCHEMA-SNAPSHOT/extraction-raw/functions-025.response.json:1 -> TOKEN: Mark
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] TOKEN=                 audit-evidence/20260828/download/auditoria-multitienda/RECOVERY-20260828/PRODUCTION-SCHEMA-SNAPSHOT/production-schema-snapshot-20260828.sql:14804 -> TOKEN: Mark
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] TOKEN=                 audit-evidence/20260828/download/auditoria-multitienda/RECOVERY-20260828/PRODUCTION-SCHEMA-SNAPSHOT/statements.json:9101 -> TOKEN: Mark
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260828/scripts/checkpoint_inventory.py:160 -> Authorization: Bearer
  [FALSE_POSITIVE                  ] Authorization:         audit-evidence/20260828/scripts/snap-lib.sh:20 -> Authorization: Bearer
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] TOKEN=                 audit-evidence/20260902-w9.4-f06/post/h02_prosrc.json:1 -> TOKEN: Mark
  [TRUNCATED_DOCUMENTARY_FRAGMENT  ] TOKEN=                 audit-evidence/20260902-w9.4-f06/pre/d01_prosrc_all.json:1 -> TOKEN: Mark
