function,argcount,live_representation_corrected_detector,was_flagged_by_old_62_finding,classification,callers_seen,action
adjust_sale_payment,12,EXACT,no,C1,-,NONE (represented; old detector failed)
adjust_total_amount,3,EXACT,YES,C1,-,NONE (represented; old detector failed)
apply_physical_count,3,EXACT,no,C1,-,NONE (represented; old detector failed)
approve_transfer,2,EXACT,no,C1,-,NONE (represented; old detector failed)
audit_backup_restore_protected_change,0,EXACT,YES,C1,-,trg_audit_backup_restore_protected,NONE (represented; old detector failed)
audit_cash_closures_changes,0,EXACT,no,C1,-,NONE (represented; old detector failed)
audit_commission_payments_changes,0,EXACT,no,C1,-,NONE (represented; old detector failed)
audit_fiscal_closings_changes,0,EXACT,no,C1,-,NONE (represented; old detector failed)
audit_payment_transactions_changes,0,EXACT,no,C1,-,NONE (represented; old detector failed)
audit_product_changes,0,EXACT,no,C1,-,NONE (represented; old detector failed)
audit_profile_changes,0,EXACT,no,C1,-,NONE (represented; old detector failed)
audit_role_changes,0,EXACT,no,C1,-,NONE (represented; old detector failed)
audit_store_access_changes,0,EXACT,no,C1,-,NONE (represented; old detector failed)
audit_store_changes,0,EXACT,no,C1,-,NONE (represented; old detector failed)
auto_kardex_on_stock_movement,0,EXACT,no,C1,-,NONE (represented; old detector failed)
auto_match_bank_items,2,EXACT,no,C1,-,NONE (represented; old detector failed)
bulk_assign_memberships,2,EXACT,no,C1,-,NONE (represented; old detector failed)
bulk_soft_delete_stores,5,EXACT,no,C1,-,NONE (represented; old detector failed)
bulk_update_products,1,EXACT,no,C1,-,NONE (represented; old detector failed)
calculate_abc,4,EXACT,no,C1,-,NONE (represented; old detector failed)
cancel_reception,1,EXACT,no,C1,-,NONE (represented; old detector failed)
cancel_transfer,2,EXACT,no,C1,-,NONE (represented; old detector failed)
cancel_transfer,3,EXACT,no,C1,-,NONE (represented; old detector failed)
check_idempotency,4,EXACT,no,C1,-,NONE (represented; old detector failed)
close_cash_shift,5,EXACT,no,C1,-,NONE (represented; old detector failed)
close_fiscal_period,4,EXACT,YES,C1,-,NONE (represented; old detector failed)
close_production_order_v2,11,EXACT,no,C1,-,NONE (represented; old detector failed)
close_service_order_as_sale,7,EXACT,no,C1,-,NONE (represented; old detector failed)
confirm_inventory_adjustment,2,EXACT,no,C1,-,NONE (represented; old detector failed)
confirm_pending_reception,3,EXACT,no,C1,-,NONE (represented; old detector failed)
confirm_transfer,3,EXACT,no,C1,-,NONE (represented; old detector failed)
create_devolution,9,EXACT,YES,C1,-,NONE (represented; old detector failed)
create_devolution,10,EXACT,no,C1,-,NONE (represented; old detector failed)
create_devolution_v2,10,EXACT,no,C1,-,NONE (represented; old detector failed)
create_physical_count,3,EXACT,YES,C1,-,NONE (represented; old detector failed)
create_production_order_v2,16,EXACT,no,C1,-,NONE (represented; old detector failed)
create_purchase_order,8,EXACT,no,C1,-,NONE (represented; old detector failed)
create_quotation,10,EXACT,no,C1,-,NONE (represented; old detector failed)
create_received_service_v2,14,EXACT,no,C1,-,NONE (represented; old detector failed)
create_sale,20,EXACT,no,C1,-,NONE (represented; old detector failed)
create_sale_v2,21,EXACT,no,C1,-,NONE (represented; old detector failed)
create_store_with_membership,17,EXACT,no,C1,-,NONE (represented; old detector failed)
create_transfer,7,EXACT,no,C1,-,NONE (represented; old detector failed)
create_vale_salida,6,EXACT,YES,C1,-,NONE (represented; old detector failed)
detect_orphan_users,0,EXACT,no,C1,-,NONE (represented; old detector failed)
distribute_service_cost_v2,2,EXACT,no,C1,-,NONE (represented; old detector failed)
duplicate_inventory_adjustment,2,EXACT,no,C1,-,NONE (represented; old detector failed)
duplicate_inventory_adjustment_v2,2,EXACT,no,C1,-,NONE (represented; old detector failed)
ensure_fiscal_period,3,EXACT,no,C1,-,NONE (represented; old detector failed)
fn_log_system_health,1,EXACT,YES,C1,-,NONE (represented; old detector failed)
fn_process_receipt,4,EXACT,YES,C1,-,NONE (represented; old detector failed)
fn_process_receipt,3,EXACT,no,C1,-,NONE (represented; old detector failed)
fn_process_sale,3,EXACT,YES,C1,-,NONE (represented; old detector failed)
fn_recalc_wac,6,EXACT,YES,C1,cancel_reception;confirm_pending_reception;fn_process_receipt;perform_inventory_adjustment;register_reception;reverse_devolution;reverse_receipt_v2;void_reception_with_reversal,NONE (represented; old detector failed)
fn_sync_inventory_on_movement,0,EXACT,no,C1,-,NONE (represented; old detector failed)
fn_void_receipt,2,EXACT,YES,C1,-,NONE (represented; old detector failed)
generate_bulk_confirmation_token,3,EXACT,no,C1,-,NONE (represented; old detector failed)
generate_bulk_override_token,3,EXACT,YES,C1,-,NONE (represented; old detector failed)
generate_confirmation_token,1,EXACT,YES,C1,-,NONE (represented; old detector failed)
generate_inventory_snapshot,1,EXACT,YES,C1,-,NONE (represented; old detector failed)
increment_user_usage,3,EXACT,YES,C1,-,NONE (represented; old detector failed)
link_receipts_to_service,3,EXACT,no,C1,-,NONE (represented; old detector failed)
lock_fiscal_period,4,EXACT,no,C1,-,NONE (represented; old detector failed)
log_audit_event,3,EXACT,no,C1,-,NONE (represented; old detector failed)
log_transaction_changes,0,EXACT,YES,C1,-,NONE (represented; old detector failed)
manage_user_memberships,2,EXACT,no,C1,-,NONE (represented; old detector failed)
managed_create_store,2,EXACT,no,C1,-,NONE (represented; old detector failed)
managed_create_user,9,EXACT,no,C1,-,NONE (represented; old detector failed)
managed_create_user_v2,10,EXACT,no,C1,-,NONE (represented; old detector failed)
managed_delete_product,1,EXACT,no,C1,-,NONE (represented; old detector failed)
managed_reset_password,2,EXACT,no,C1,-,NONE (represented; old detector failed)
managed_revoke_membership,2,EXACT,no,C1,-,NONE (represented; old detector failed)
managed_soft_delete_user,3,EXACT,no,C1,-,NONE (represented; old detector failed)
managed_toggle_product_active,2,EXACT,no,C1,-,NONE (represented; old detector failed)
managed_toggle_user_status,3,EXACT,no,C1,-,NONE (represented; old detector failed)
managed_update_membership,4,EXACT,no,C1,-,NONE (represented; old detector failed)
managed_update_tenant_plan,4,EXACT,no,C1,-,NONE (represented; old detector failed)
managed_update_user,9,EXACT,no,C1,-,NONE (represented; old detector failed)
mark_expired_lots,1,EXACT,YES,C1,-,NONE (represented; old detector failed)
next_document_number,3,EXACT,no,C1,-,NONE (represented; old detector failed)
on_auth_user_created,0,EXACT,no,C1,-,NONE (represented; old detector failed)
perform_inventory_adjustment,7,EXACT,no,C1,-,NONE (represented; old detector failed)
process_inventory_adjustment,4,EXACT,YES,C1,-,NONE (represented; old detector failed)
process_pick3_transaction,7,EXACT,YES,C1,on_pick3_profile_initial_bankroll,NONE (represented; old detector failed)
receive_against_po,5,EXACT,no,C1,-,NONE (represented; old detector failed)
receive_production_output,6,EXACT,no,C1,-,NONE (represented; old detector failed)
